,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.010526315789473686,990.680309139785,991.0199596774194,990.3301747311829,731.6294679399728,25.171236559139786,22.52547043010753,25.66525537634409,24.71895161290323,22.921639784946237,22.167674731182796,86.89448924731182,84.8366935483871,85.86626344086021,1.96377688172043,0.2762096774193548,1.0
2019-02-28,0.010526315789473686,990.3174851190475,990.6506696428571,989.9480654761904,813.0206101190475,25.555877976190477,22.969122023809526,26.062127976190474,25.020535714285714,23.363988095238096,22.555059523809526,87.09747023809524,85.02901785714286,86.0766369047619,2.206845238095238,0.3126488095238095,1.0
2019-03-31,0.010526315789473686,990.4264784946237,990.8100134408603,990.0426747311828,776.6563172043011,25.58521505376344,23.043010752688172,26.176075268817204,25.076008064516127,23.514986559139786,22.62856182795699,87.3877688172043,85.1491935483871,86.3252688172043,2.3071236559139785,0.3043682795698925,2.0
2019-04-30,0.010526315789473686,990.3625694444445,990.7163194444445,989.9610648148148,846.9451388888889,26.05548611111111,22.985092592592594,26.799837962962965,25.462523148148147,23.55025462962963,22.517500000000002,85.17569444444445,82.33634259259259,83.88009259259259,2.4680555555555554,0.37777777777777777,6.0
2019-05-31,0.010526315789473686,991.9843408384796,992.0877552325061,991.603729532388,1048.2770996349711,26.818491011724394,23.526831190680152,27.42150268604111,24.555681094148884,24.035577632021955,22.17190444683109,87.93800023653357,82.06819971317641,83.40651863074767,1.1532882960633142,0.30331019140040655,33.0
2019-06-30,0.010526315789473686,993.2317366891267,993.4300140375215,993.0268174461619,1056.1035248216408,26.78769817677368,22.22989017703792,27.694609261461224,24.21632861012023,23.042634595058797,21.061809849385654,86.23976086669309,75.61540659268067,78.37344926674594,1.9267409829567974,0.6801905799973577,60.0
2019-07-31,0.050268817204301076,993.2030913978494,993.4861559139785,992.9168010752688,764.1048387096774,23.202956989247312,19.46720430107527,24.002688172043012,22.45766129032258,20.080107526881722,18.84959677419355,85.64784946236558,79.96236559139786,82.8991935483871,2.435483870967742,0.7643817204301075,272.0
2019-08-31,0.05241935483870968,993.5802419354839,993.890994623656,993.2727150537635,838.6501344086021,23.65604838709677,17.448252688172044,24.581586021505377,22.77983870967742,18.221774193548388,16.703091397849462,78.34139784946237,71.54032258064517,74.98924731182795,2.640725806451613,0.8125,3050.0
2019-09-30,0.14416666666666667,990.7840277777777,991.1430555555555,990.42625,849.1100694444444,26.003333333333334,21.47736111111111,26.789583333333333,25.266944444444444,22.128333333333334,20.857777777777777,83.31666666666666,76.72222222222223,80.13888888888889,2.879861111111111,0.8515277777777778,2977.0
2019-10-31,0.17553763440860215,990.147311827957,990.5041666666666,989.783064516129,770.9532258064515,24.856317204301074,21.97795698924731,25.570698924731182,24.213306451612905,22.536693548387095,21.470698924731185,88.98118279569893,83.24193548387096,86.18413978494624,2.7673387096774196,0.789247311827957,353.0
2019-11-30,0.32805555555555554,988.3123611111112,988.6595833333333,987.9618055555555,745.1215277777778,25.090416666666666,22.583055555555553,25.74013888888889,24.485277777777778,23.081944444444446,22.086666666666666,90.3875,84.93472222222222,87.78888888888889,2.598888888888889,0.72125,44.0
2019-12-31,0.39139784946236555,988.9864247311829,989.3352150537635,988.6333333333333,726.5380376344086,25.09744623655914,22.865860215053765,25.707123655913975,24.546236559139786,23.35255376344086,22.418279569892473,91.3010752688172,86.18817204301075,88.8239247311828,2.5153225806451616,0.7151881720430108,1.0
2020-01-31,0.31451612903225806,989.4923387096775,989.8393817204301,989.1373655913978,775.9487903225806,25.626075268817203,23.025,26.298387096774192,25.038575268817205,23.556854838709675,22.54489247311828,89.95430107526882,84.43682795698925,87.3010752688172,2.7356182795698922,0.751747311827957,16.0
2020-02-29,0.33591954022988507,989.9852011494252,990.3225574712644,989.6403735632183,711.6207614942529,25.244396551724137,23.042241379310344,25.842241379310344,24.733333333333334,23.498275862068965,22.632183908045977,91.26867816091954,86.308908045977,88.93103448275862,2.421551724137931,0.6119252873563218,8.5
2020-03-31,0.2981182795698925,989.6049731182795,989.966935483871,989.239247311828,716.6074596774193,25.391532258064515,23.125806451612902,26.00389784946237,24.858467741935485,23.60564516129032,22.68938172043011,91.14381720430107,86.06451612903226,88.75537634408602,2.291801075268817,0.5201612903225806,1.0
2020-04-30,0.2697222222222222,991.5390277777777,991.8534722222222,991.21625,644.8134722222222,24.610555555555553,22.316944444444445,25.217777777777776,24.087777777777777,22.81138888888889,21.884305555555557,91.125,86.08194444444445,88.70694444444445,2.053888888888889,0.44875000000000004,4.0
2020-05-31,0.1443548387096774,992.7538978494624,993.0456989247311,992.467876344086,647.3239247311828,23.676344086021505,21.06935483870968,24.309811827956988,23.098924731182795,21.568145161290325,20.56465053763441,89.70564516129032,84.47983870967742,87.24731182795699,2.0155913978494624,0.5311827956989247,39.0
2020-06-30,0.028055555555555556,991.8797916666666,992.1690277777777,991.6277777777777,645.1545138888889,24.492152777777775,21.762430555555557,25.28666666666667,23.796944444444442,22.422847222222224,21.238263888888888,89.71597222222222,83.98333333333333,86.87013888888889,1.9502777777777778,0.5152083333333333,71.0
2020-07-31,0.12580645161290321,991.7540994623656,992.0372311827956,991.4721774193549,676.0704301075269,23.909274193548388,20.677284946236558,24.674462365591395,23.211021505376344,21.27016129032258,20.111491935483873,87.6364247311828,81.96841397849462,84.88239247311827,2.0586693548387096,0.6008736559139785,335.0
2020-08-31,0.015591397849462365,991.4084677419355,991.7114247311829,991.1100806451614,788.6158602150537,23.98911290322581,19.067473118279572,24.848521505376343,23.171102150537635,19.825,18.372580645161293,82.54435483870968,75.87096774193549,79.21505376344086,2.2651881720430107,0.6935483870967742,3578.0
2020-09-30,0.2072222222222222,990.4804166666667,990.8434722222223,990.1179166666667,795.9860416666666,25.74347222222222,21.746666666666666,26.492361111111112,25.02777777777778,22.328125,21.197291666666665,84.96875,78.65902777777778,81.83888888888889,2.5841666666666665,0.7413888888888889,3355.0
2020-10-31,0.20456989247311827,989.667876344086,990.0377688172043,989.2881720430108,854.6234543010752,25.592204301075267,22.035954301075268,26.34556451612903,24.913306451612904,22.656384408602147,21.466868279569894,86.8877688172043,80.63709677419355,83.83870967741936,2.770698924731183,0.7956989247311828,1652.0
2020-11-30,0.2436111111111111,988.7731944444444,989.1325,988.4138888888889,867.708611111111,25.929583333333333,22.75680555555556,26.68027777777778,25.27041666666667,23.367361111111112,22.215208333333333,87.83333333333333,81.40763888888888,84.65069444444444,2.4320833333333334,0.6684722222222222,129.0
2020-12-31,0.3868279569892473,989.2560483870968,989.6060483870968,988.9005376344086,715.3200940860215,24.816935483870967,22.735282258064515,25.455510752688173,24.24260752688172,23.206115591397847,22.28239247311828,91.9133064516129,86.41935483870968,89.32056451612904,2.6231182795698924,0.7133064516129033,11.0
2021-01-31,0.34516129032258064,989.2440860215054,989.5849462365591,988.9014784946236,727.2369623655915,24.73293010752688,22.632930107526885,25.396370967741937,24.149193548387096,23.14206989247312,22.17385752688172,91.79637096774194,85.875,88.99462365591398,2.5899193548387096,0.7049731182795699,5.0
2021-02-28,0.7791666666666667,989.2190476190475,989.575,988.866517857143,661.7902529761905,24.90952380952381,23.074627976190477,25.45952380952381,24.425744047619045,23.507291666666667,22.67686011904762,92.8608630952381,87.96502976190476,90.46279761904762,2.5047619047619047,0.6102678571428571,4.0
2021-03-31,0.34919354838709676,989.7840053763441,990.1272849462365,989.4341397849462,653.6454301075269,24.45537634408602,22.556586021505375,25.03467741935484,23.935080645161293,22.98534946236559,22.132930107526885,92.45564516129032,87.50268817204301,90.16196236559139,2.4018817204301075,0.6580645161290323,3.0
