,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.25510752688172045,975.8400537634409,976.1620967741935,975.5177419354839,1035.0508401453224,27.01706989247312,20.368279569892472,27.668279569892473,26.403763440860217,21.018279569892474,19.77970430107527,72.99596774193549,66.50940860215054,69.75537634408602,3.9061827956989243,1.3146505376344086,129
2019-02-28,0.2898809523809524,974.5900297619048,974.9188988095239,974.257142857143,839.1559399801587,26.126190476190477,21.278720238095236,26.758184523809526,25.551339285714285,21.809970238095236,20.763392857142858,79.33779761904762,73.25,76.43154761904762,3.9904761904761905,1.2977678571428573,88
2019-03-31,0.21290322580645163,975.394758064516,975.7021505376345,975.0864247311829,850.8823252688171,26.47083333333333,21.274193548387096,27.109543010752688,25.888575268817203,21.788575268817205,20.81021505376344,77.7997311827957,71.89784946236558,74.92069892473118,3.852016129032258,1.319758064516129,138
2019-04-30,0.21222222222222223,975.3325,975.6077777777778,975.0509722222222,750.9921358618234,26.57111111111111,21.064722222222223,27.165694444444444,26.014027777777777,21.503333333333334,20.60513888888889,76.78888888888889,71.33888888888889,74.13472222222222,3.1386111111111115,1.0288888888888887,83
2019-05-31,0.023655913978494626,976.1476478494624,976.4002016129032,975.896438172043,793.6664133581473,25.846438172043012,18.967405913978496,26.53266129032258,25.20436827956989,19.436424731182797,18.495564516129033,71.62163978494624,65.95631720430107,68.85349462365592,3.0631048387096773,1.046774193548387,134
2019-06-30,0.0,978.8863888888889,979.1204166666666,978.6468055555555,803.951201923077,24.150138888888886,14.58236111111111,24.981944444444444,23.38388888888889,15.121111111111112,14.044583333333334,62.99027777777778,56.604166666666664,59.861111111111114,3.1202777777777775,1.0968055555555556,217
2019-07-31,0.0013440860215053765,978.5439516129031,978.7966397849461,978.2962365591399,856.3905448717948,23.605779569892473,11.751612903225807,24.50927419354839,22.721236559139783,12.340591397849462,11.154569892473118,56.24327956989247,49.553763440860216,52.89381720430107,3.291263440860215,1.1556451612903225,403
2019-08-31,0.0,978.3638440860215,978.6247983870967,978.1061827956989,866.8200578990901,27.250537634408605,11.43891129032258,28.118615591397848,26.434139784946236,12.065322580645162,10.786155913978494,44.553763440860216,38.61760752688172,41.652553763440864,3.816465053763441,1.3256720430107527,698
2019-09-30,0.014444444444444446,974.5079166666666,974.7988888888888,974.2229166666667,899.6308867521367,30.138055555555557,12.140555555555556,31.015555555555558,29.276527777777776,12.823472222222222,11.461944444444445,41.022222222222226,35.44305555555555,38.15972222222222,3.91875,1.3844444444444444,4149
2019-10-31,0.08387096774193548,973.6986559139785,974.0297043010752,973.3673387096775,884.0334433040078,28.956317204301076,17.866129032258065,29.724865591397847,28.241666666666667,18.45927419354839,17.28508064516129,58.094086021505376,51.89650537634409,55.00806451612903,4.466801075268817,1.4700268817204303,873
2019-11-30,0.16833333333333333,972.9993055555556,973.3438888888888,972.6586111111111,843.0220202020201,27.337638888888886,20.06083333333333,27.985416666666666,26.716805555555553,20.611527777777777,19.50013888888889,70.18194444444444,63.84861111111111,67.06805555555556,4.011111111111111,1.2958333333333334,160
2019-12-31,0.3905913978494624,973.6552419354839,973.9888440860215,973.3213709677419,858.8770478983383,26.440591397849463,21.107795698924733,27.089516129032255,25.84395161290323,21.703091397849462,20.563844086021504,77.5524193548387,71.25268817204301,74.47446236559139,3.870295698924731,1.2286290322580646,88
2020-01-31,0.33763440860215055,973.6216397849462,973.9405913978495,973.2979838709676,868.864513888889,26.961827956989247,21.725134408602152,27.593010752688173,26.358467741935485,22.28454301075269,21.189919354838707,78.13709677419355,72.09139784946237,75.10887096774194,3.6903225806451614,1.1409946236559139,60
2020-02-29,0.5091954022988505,974.6897988505747,975.0104885057472,974.3688218390804,825.5030531609195,26.31005747126437,21.708620689655174,26.93333333333333,25.754310344827587,22.179741379310347,21.225431034482757,80.17959770114942,74.55459770114942,77.5316091954023,3.71566091954023,1.1682471264367817,92
2020-03-31,0.2424731182795699,974.5069892473118,974.8073924731182,974.2108870967742,842.9830421146953,26.606048387096777,21.459408602150535,27.219758064516128,26.04731182795699,21.958467741935486,20.99220430107527,78.08467741935483,72.50806451612904,75.35483870967742,3.599193548387097,1.256989247311828,124
2020-04-30,0.1461111111111111,976.2030555555555,976.4676388888888,975.9329166666666,858.8837001424502,26.618055555555557,20.468194444444446,27.24513888888889,26.04111111111111,20.98916666666667,19.974444444444444,74.24166666666666,68.46111111111111,71.3875,3.2613888888888884,1.1059722222222221,156
2020-05-31,0.0032258064516129032,978.019623655914,978.2541666666666,977.7853494623656,779.8163461538461,23.737903225806452,16.58319892473118,24.44233870967742,23.085349462365592,17.10430107526882,16.08508064516129,70.52822580645162,64.95161290322581,67.75403225806451,3.0481182795698927,1.0474462365591397,150
2020-06-30,0.0,977.9979166666667,978.2349999999999,977.7625,766.9929487179488,24.357777777777777,15.386111111111111,25.14611111111111,23.58361111111111,15.8925,14.864861111111113,64.7625,58.77916666666667,61.7875,3.125972222222222,1.1304166666666666,314
2020-07-31,0.0,977.7203629032257,977.9605510752689,977.477755376344,816.6947322167081,24.194422043010753,12.634811827956987,25.079973118279568,23.348051075268817,13.193145161290323,12.099663978494624,57.17943548387097,50.90524193548387,54.05577956989247,3.326747311827957,1.1724462365591397,402
2020-08-31,0.0,976.7852150537634,977.058064516129,976.522311827957,930.0211331679074,26.45685483870968,10.239247311827956,27.414112903225803,25.5127688172043,10.929569892473118,9.579032258064517,44.255376344086024,37.795698924731184,40.95161290322581,3.934543010752688,1.3100806451612903,964
2020-09-30,0.016666666666666666,974.8219444444445,975.1108333333334,974.5404166666666,965.8521794871795,29.182222222222222,10.772638888888888,30.10611111111111,28.262638888888887,11.528333333333332,10.017777777777779,40.74583333333333,34.69444444444444,37.65694444444444,4.004722222222222,1.36375,1825
2020-10-31,0.1650537634408602,973.0173387096775,973.3567204301075,972.6729838709676,827.5119442721258,29.26975806451613,16.33991935483871,30.055913978494623,28.533198924731185,16.95725806451613,15.716263440860214,55.11021505376344,49.42741935483871,52.29838709677419,4.120833333333334,1.3373655913978495,1622
2020-11-30,0.042777777777777776,973.5463888888889,973.86875,973.2252777777777,981.2606470959596,28.255555555555556,18.166527777777777,28.93347222222222,27.59347222222222,18.80027777777778,17.56361111111111,61.0,54.955555555555556,57.94305555555555,4.3123611111111115,1.4998611111111113,229
2020-12-31,0.09018817204301074,973.8207715502415,973.0656965166481,972.4505755489062,1199.7157872836444,28.695795665275845,20.205285024750626,29.761290322580646,28.279953990244703,21.058672685166208,19.60865987621429,65.45279730431338,58.04339502124578,62.47989292177008,4.583507873696464,1.3346158154121863,70
2021-01-31,0.0,975.3602373049134,973.3824158331304,972.8724715731684,889.0715035564452,30.100634600378804,19.74997272350997,31.593370493358634,30.090207300077882,20.712609335706656,19.277049326821764,55.32295775577518,49.96735766692626,53.909101385630294,4.751685891748004,1.0993895609318995,63
