,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.21397849462365592,991.0393817204301,991.3604838709676,990.7184139784946,771.3487708615246,25.54032258064516,22.222983870967745,26.102688172043013,25.01854838709677,22.721236559139783,21.78293010752688,84.89784946236558,80.76478494623656,82.93682795698925,2.9073924731182794,0.7141129032258063,712
2019-02-28,0.2922619047619048,990.4337797619048,990.7818452380952,990.0784226190475,800.9041046626984,25.872470238095236,22.627380952380953,26.430654761904766,25.338541666666668,23.117857142857144,22.15952380952381,85.18452380952381,81.02232142857143,83.17857142857143,2.9169642857142857,0.6735119047619048,74
2019-03-31,0.1567204301075269,990.9841397849461,991.3209677419355,990.6459677419355,735.4118167562725,25.47217741935484,22.654973118279568,25.99260752688172,24.988978494623655,23.116935483870968,22.22970430107527,86.75,83.11424731182795,85.07661290322581,2.871236559139785,0.7229838709677419,57
2019-04-30,0.1507849829351536,990.5934722222223,990.9200000000001,990.2691666666667,744.5474795227921,25.739583333333332,22.730694444444445,26.330555555555556,25.186944444444443,23.238472222222224,22.275555555555556,86.35694444444445,82.33055555555555,84.39444444444445,2.661388888888889,0.6383333333333334,63
2019-05-31,0.05085324232081912,990.3647849462366,990.6534946236559,990.0755376344085,786.2854011579817,25.656317204301075,21.776075268817205,26.35994623655914,24.9752688172043,22.355510752688172,21.213844086021506,83.12231182795699,78.09139784946237,80.70833333333333,2.5719086021505375,0.7075268817204301,139
2019-06-30,0.0008333333333333335,992.3091666666667,992.5518055555556,992.0672222222222,864.1591613247863,25.18388888888889,18.765694444444442,26.020833333333332,24.358194444444447,19.452916666666667,18.11375,74.76527777777778,68.64027777777778,71.65416666666667,3.1597222222222223,1.2047222222222222,749
2019-07-31,0.004838709677419355,992.2524193548388,992.505376344086,992.0047043010753,843.7836641852772,25.163306451612904,17.283198924731185,26.125806451612902,24.216263440860217,17.934677419354838,16.61599462365591,69.99193548387096,63.939516129032256,67.00403225806451,3.601747311827957,1.335483870967742,1078
2019-08-31,0.0,992.6948924731183,992.964247311828,992.422311827957,950.8028380893301,25.736962365591395,15.06263440860215,26.80161290322581,24.694220430107528,15.791935483870969,14.377822580645162,61.473118279569896,55.01478494623656,58.229838709677416,3.993682795698925,1.4973118279569892,3366
2019-09-30,0.002777777777777778,990.5102777777778,990.8140277777777,990.2080555555556,970.7544444444444,27.361805555555556,17.826944444444443,28.33208333333333,26.451666666666668,18.438194444444445,17.222083333333334,63.83611111111111,57.93472222222222,60.93333333333333,3.839583333333333,1.2972222222222223,3667
2019-10-31,0.007795698924731183,989.3685483870967,989.6942204301075,989.0478494623655,789.8048128618693,26.895698924731185,20.319220430107528,27.700134408602153,26.15215053763441,20.86236559139785,19.81787634408602,73.25537634408602,67.93010752688173,70.61962365591398,3.370967741935484,1.12002688172043,3645
2019-11-30,0.0,988.4391666666666,988.7563888888889,988.1236111111111,779.4424621212122,26.62472222222222,21.304305555555555,27.298333333333332,25.978055555555557,21.773333333333333,20.84986111111111,77.27638888888889,72.63472222222222,75.02222222222223,3.109722222222222,1.0318055555555554,3158
2019-12-31,0.01639784946236559,988.8064516129032,989.1198924731182,988.4986559139785,742.1401800260671,26.664112903225803,21.743413978494623,27.3122311827957,26.04784946236559,22.18951612903226,21.301075268817204,78.5,74.22715053763442,76.4260752688172,3.4353494623655916,1.1416666666666666,1813
2020-01-31,0.0013440860215053765,990.5509408602151,990.8715053763441,990.2262096774194,714.9651769713262,25.771236559139783,22.475672043010753,26.30510752688172,25.26760752688172,22.899327956989247,22.09032258064516,84.61155913978494,81.26881720430107,82.95161290322581,3.0311827956989243,0.9432795698924731,86
2020-02-29,0.0,990.6380747126436,990.966091954023,990.3050287356323,783.8536877394636,26.017672413793104,22.60890804597701,26.566522988505746,25.490804597701146,23.05689655172414,22.179741379310347,84.15517241379311,80.57183908045977,82.43103448275862,2.8982758620689655,0.7435344827586207,72
2020-03-31,0.006720430107526882,990.5850806451614,990.9088709677419,990.2692204301076,755.3608422939068,25.899596774193547,22.639112903225808,26.423521505376343,25.410080645161287,23.080241935483873,22.250537634408605,84.77553763440861,81.34274193548387,83.12903225806451,2.8809139784946236,0.7051075268817205,39
2020-04-30,0.5419444444444445,991.1509722222222,991.4654166666667,990.8301388888888,719.0572070868947,25.568472222222223,22.39027777777778,26.141805555555553,25.026527777777776,22.852777777777778,21.974305555555556,85.3125,81.80277777777778,83.60416666666667,2.5955555555555554,0.6430555555555556,93
2020-05-31,0.01021505376344086,991.625,991.8971774193549,991.3571236559139,760.8544975186104,26.251209677419357,21.72741935483871,26.91814516129032,25.593145161290323,22.241666666666667,21.25040322580645,80.24193548387096,75.79838709677419,78.0241935483871,2.5815860215053763,0.7740591397849462,231
2020-06-30,0.0005555555555555556,991.9256944444444,992.166388888889,991.6869444444444,824.5768803418803,25.021944444444443,18.933611111111112,25.783611111111114,24.21194444444444,19.50138888888889,18.364305555555553,74.48333333333333,69.38055555555556,71.95694444444445,3.3676388888888886,1.2690277777777779,757
2020-07-31,0.0,991.5645161290323,991.8137096774194,991.3172043010753,845.127305624483,24.618548387096777,15.70766129032258,25.453897849462365,23.78037634408602,16.327016129032256,15.114650537634407,65.57930107526882,59.83467741935484,62.69758064516129,3.617069892473118,1.3244623655913978,1871
2020-08-31,0.0,991.0360215053764,991.308870967742,990.771370967742,890.5506255169562,26.035080645161287,15.521505376344086,26.776747311827958,25.268951612903223,16.164112903225806,14.910349462365591,60.211021505376344,54.52150537634409,57.35215053763441,3.977284946236559,1.426478494623656,2162
2020-09-30,0.007777777777777778,990.0940277777777,990.4105555555556,989.7848611111111,946.9373913817664,27.16125,15.953055555555556,27.844305555555557,26.474027777777778,16.650833333333335,15.26388888888889,57.951388888888886,52.166666666666664,55.07222222222222,4.133472222222222,1.3031944444444443,4403
2020-10-31,0.01693548387096774,989.3095430107528,989.6444892473119,988.973252688172,838.034968637993,27.661424731182795,20.118548387096777,28.166666666666668,27.151747311827958,20.59690860215054,19.626881720430106,68.33736559139786,63.663978494623656,66.03225806451613,3.1243279569892475,0.7975806451612903,3394
2020-11-30,0.0,989.3344444444446,989.6369444444445,989.022638888889,735.4478472222222,28.054861111111112,22.470277777777778,28.36263888888889,27.73625,22.891666666666666,22.041944444444447,74.80833333333334,71.05694444444444,72.96944444444445,2.598333333333333,0.6684722222222222,2481
2020-12-31,0.00026881720430107527,989.2916666666666,989.5987903225806,988.9873655913979,705.8171931003585,28.064650537634407,23.126478494623655,28.381586021505377,27.75712365591398,23.50228494623656,22.74287634408602,77.07795698924731,73.5013440860215,75.32795698924731,2.261290322580645,0.5137096774193548,1228
2021-01-31,0.0,989.3092741935484,989.6212365591397,988.9998655913979,742.347591845878,28.00349462365591,23.078494623655917,28.29422043010753,27.7119623655914,23.39059139784946,22.737903225806452,76.77016129032258,73.61559139784946,75.27016129032258,2.4888440860215053,0.5625,228
2021-02-28,0.0,989.6592261904761,989.9811011904762,989.3376488095239,672.9965773809524,27.731845238095236,23.133482142857144,27.988988095238092,27.477232142857144,23.40610119047619,22.850446428571427,78.10416666666667,75.26934523809524,76.72916666666667,2.570982142857143,0.678422619047619,128
2021-03-31,0.0,989.9764784946236,990.3118279569892,989.640188172043,780.9001344086021,26.822043010752687,22.806451612903224,27.14475806451613,26.503360215053764,23.101478494623656,22.500672043010752,80.87768817204301,77.69489247311827,79.35483870967742,2.984811827956989,0.7219086021505376,62
2021-04-30,0.0,989.8551388888889,990.1740277777778,989.5323611111112,765.0646901709401,26.45486111111111,22.36763888888889,26.806944444444444,26.105555555555554,22.696805555555557,22.030555555555555,80.89166666666667,77.52083333333333,79.27222222222223,2.631527777777778,0.6286111111111111,96
2021-05-31,0.0,990.4638442398365,991.1368591045101,990.3446238097289,1886.0288280603806,29.01712913837012,20.073655913978495,29.18964118323651,28.405079348359827,20.46290322580645,19.62956989247312,62.87231182795699,59.530913978494624,60.93010752688172,3.6518018981001568,0.9149607823231796,471
2021-06-30,0.0,989.7920370017165,990.7624928476064,989.7920370017165,2679.875543478261,31.48800057208238,19.1,31.547044522833442,30.702740966727045,19.5,18.6,51.0,48.0,49.0,4.869862687136455,1.1886324623307267,979
2021-07-31,0.0,989.9735361434294,990.9160690444402,989.9735361434294,2609.0625000000005,31.76019736842105,19.1,31.87504528553723,30.98886929163886,19.5,18.6,51.0,48.0,49.0,5.030404310098217,1.2724012969673852,1507
2021-08-31,0.0,990.1580106809079,991.0721628838452,990.1580106809079,2537.088586956522,32.03685640732265,19.1,32.20842310992468,31.279688244827916,19.5,18.6,51.0,48.0,49.0,5.193577762944598,1.357543391188251,3322
2021-09-30,0.0,990.3395098226206,991.225739080679,990.3395098226206,2466.275543478261,32.30905320366133,19.1,32.53642387262847,31.565816569739727,19.5,18.6,51.0,48.0,49.0,5.35411938590636,1.4413122258249094,2469
2021-10-31,0.0,990.5210089643335,991.3793152775129,990.5210089643335,2395.4625,32.581250000000004,19.1,32.86442463533225,31.85194489465154,19.5,18.6,51.0,48.0,49.0,5.5146610088681225,1.5250810604615677,3069
2021-11-30,0.0,990.7025081060461,991.5328914743468,990.7025081060461,2324.6494565217395,32.85344679633867,19.1,33.192425398036036,32.13807321956335,19.5,18.6,51.0,48.0,49.0,5.675202631829885,1.6088498950982262,2502
2021-12-31,0.0,990.884007247759,991.6864676711806,990.884007247759,2253.8364130434784,33.12564359267735,19.1,33.520426160739824,32.42420154447516,19.5,18.6,51.0,48.0,49.0,5.8357442547916465,1.6926187297348845,1244
2022-01-31,0.0,991.0684817852376,991.8425615105856,991.0684817852376,2181.8625,33.40230263157895,19.1,33.85380398512727,32.71502049766422,19.5,18.6,51.0,48.0,49.0,5.998917707638028,1.7777608239557505,185
2022-02-28,0.0,991.2440301354187,991.9911024222773,991.2440301354187,2113.371195652174,33.665574942791764,19.1,34.171050624463724,32.991767566021544,19.5,18.6,51.0,48.0,49.0,6.154195670830552,1.8587831394239938,92
2022-03-31,0.0,991.4195784855999,992.139643333969,991.4195784855999,2044.8798913043481,33.92884725400457,19.1,34.48829726380017,33.268514634378874,19.5,18.6,51.0,48.0,49.0,6.309473634023076,1.9398054548922372,44
2022-04-30,0.0,991.6010776273126,992.293219530803,991.6010776273126,1974.066847826087,34.20104405034325,19.1,34.81629802650396,33.55464295929069,19.5,18.6,51.0,48.0,49.0,6.470015256984838,2.0235742895288955,66
2022-05-31,0.0,991.7825767690254,992.4467957276369,991.7825767690254,1903.2538043478262,34.473240846681925,19.1,35.14429878920774,33.840771284202496,19.5,18.6,51.0,48.0,49.0,6.6305568799466,2.107343124165554,454
2022-06-30,0.0,991.9640759107382,992.6003719244707,991.9640759107382,1832.440760869565,34.745437643020594,19.1,35.472299551911526,34.12689960911431,19.5,18.6,51.0,48.0,49.0,6.791098502908363,2.191111958802212,917
2022-07-31,0.0,991.9536622050086,992.4969728583324,991.8996971512452,1595.065513966807,33.23697416863512,19.1,34.05217210400655,32.58269440232829,19.5,18.6,51.0,48.0,49.0,6.1695609502702276,2.002393308845998,2170
2022-08-31,0.0,991.0599462365591,991.3454301075269,990.782123655914,946.1320616211746,26.916129032258063,19.1,27.894489247311828,25.985887096774192,19.5,18.6,51.0,48.0,49.0,3.9971774193548386,1.3879032258064514,3473
2022-09-30,0.021666666666666667,990.2252777777777,990.5462500000001,989.9104166666667,962.19827991453,27.13236111111111,19.1,28.044166666666666,26.270000000000003,19.5,18.6,51.0,48.0,49.0,3.8184722222222223,1.2344444444444445,4166
2022-10-31,0.06397849462365592,988.9431451612902,989.2852150537634,988.6134408602151,840.362867038875,28.20416666666667,19.1,29.006048387096776,27.443682795698923,19.5,18.6,51.0,48.0,49.0,3.4481182795698926,1.0236559139784946,4495
2022-11-30,0.04611111111111112,989.4494444444445,989.7790277777779,989.1184722222223,681.2161713286714,26.07986111111111,19.1,26.62902777777778,25.566666666666666,19.5,18.6,51.0,48.0,49.0,3.294583333333333,1.0177777777777777,2621
2022-12-31,0.0,989.284811827957,989.5934139784946,988.9717741935484,670.5585369827305,25.787365591397847,19.1,26.366129032258065,25.286155913978497,19.5,18.6,51.0,48.0,49.0,2.7504032258064517,0.7452956989247311,1541
2023-01-31,0.0,990.3444892473119,990.6775537634409,990.0192204301076,798.7498655913979,25.555913978494623,19.1,26.146102150537637,25.00349462365591,19.5,18.6,51.0,48.0,49.0,2.6411290322580645,0.5731182795698925,298
2023-02-28,0.0,990.0931547619048,990.418005952381,989.7675595238096,748.7195188492063,25.571875,19.1,26.16547619047619,25.043750000000003,19.5,18.6,51.0,48.0,49.0,2.2078869047619047,0.4337797619047619,135
2023-03-31,0.0,990.5297043010752,990.85,990.208870967742,742.0478804797353,25.572849462365593,19.1,26.142204301075267,25.043279569892473,19.5,18.6,51.0,48.0,49.0,2.852688172043011,0.705241935483871,106
2023-04-30,0.0,989.8587500000001,990.1865972222222,989.5331944444445,817.7626878561254,26.529791666666668,19.1,27.153333333333336,25.96173611111111,19.5,18.6,51.0,48.0,49.0,2.4563888888888887,0.5248611111111111,155
2023-05-31,0.11048387096774194,991.0064516129033,991.2940860215054,990.7193548387096,786.0633572856356,26.63790322580645,19.1,27.23212365591398,26.061962365591395,19.5,18.6,51.0,48.0,49.0,1.8237903225806453,0.29973118279569894,478
2023-06-30,0.005000000000000001,992.1647222222222,992.4093055555555,991.9212500000001,859.6860042735043,26.6,19.1,27.381111111111114,25.868888888888886,19.5,18.6,51.0,48.0,49.0,2.129166666666667,0.3927777777777778,1338
2023-07-31,0.004301075268817204,992.4272849462366,992.6856182795699,992.167741935484,854.8388182382133,26.20725806451613,19.1,27.129704301075268,25.333333333333332,19.5,18.6,51.0,48.0,49.0,2.5540322580645163,0.5424731182795699,2405
2023-08-31,0.002150537634408602,991.0645161290323,991.3641129032259,990.7706989247312,887.9712985938793,27.669086021505375,19.1,28.606989247311827,26.768951612903223,19.5,18.6,51.0,48.0,49.0,2.676209677419355,0.38857526881720433,2431
