,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.18467741935483872,913.5981182795699,913.8650537634409,913.328629032258,993.2300123685837,24.433467741935484,16.83481182795699,25.227688172043013,23.671639784946237,17.51518817204301,16.188440860215056,68.90322580645162,61.80241935483871,65.27822580645162,5.159005376344086,1.8623655913978494,142
2019-02-28,0.27380952380952384,911.6907738095238,911.9779761904762,911.402380952381,821.3607999639249,23.415625,17.98125,24.114880952380954,22.77827380952381,18.53020833333333,17.468005952380953,76.85267857142857,70.56845238095238,73.78422619047619,5.147321428571429,1.8547619047619048,111
2019-03-31,0.21908602150537634,913.0092741935484,913.2650537634408,912.7466397849462,781.3311914116349,22.91155913978495,17.816666666666666,23.567741935483873,22.309543010752687,18.311021505376342,17.338037634408604,77.60618279569893,71.86424731182795,74.84408602150538,4.815456989247312,1.64247311827957,127
2019-04-30,0.22416666666666668,912.8176388888888,913.0469444444445,912.5868055555555,797.936014957265,22.688472222222224,16.874166666666667,23.389027777777777,22.01736111111111,17.42666666666667,16.328611111111112,75.10138888888889,68.97777777777777,72.11805555555556,4.429722222222223,1.6070833333333332,85
2019-05-31,0.11989247311827958,913.8436827956989,914.0670698924731,913.6197580645161,669.5087107113317,21.011290322580646,15.198252688172044,21.704704301075267,20.34543010752688,15.717204301075268,14.708736559139783,74.52553763440861,68.75268817204301,71.6760752688172,4.397715053763441,1.668010752688172,143
2019-06-30,0.004166666666666667,917.0945833333333,917.3056250000001,916.8804166666667,700.153498931624,19.173958333333335,11.131736111111111,19.941944444444445,18.44534722222222,11.617291666666668,10.658333333333333,65.2625,59.49375,62.43472222222222,4.870555555555556,1.7475694444444445,322
2019-07-31,0.0016129032258064518,916.3420698924731,916.5549731182796,916.1288978494624,693.540270885029,18.664112903225806,8.539650537634408,19.483198924731184,17.896505376344088,9.02231182795699,8.061559139784947,57.82392473118279,52.23924731182796,55.07661290322581,5.535887096774193,1.9983870967741935,808
2019-08-31,0.006451612903225807,917.0349462365591,917.2647849462365,916.8090053763441,751.5656844499587,20.981586021505375,9.716801075268817,21.80013440860215,20.191666666666666,10.208064516129033,9.21989247311828,55.11693548387097,49.600806451612904,52.3494623655914,5.634408602150538,2.00497311827957,1369
2019-09-30,0.08305555555555555,913.5494444444444,913.7991666666667,913.3036111111111,862.9041880341881,25.143333333333334,10.48125,25.95138888888889,24.32388888888889,11.020277777777778,9.986527777777779,47.675,42.7875,45.13611111111111,6.211250000000001,2.1865277777777776,3833
2019-10-31,0.19650537634408602,911.8985215053764,912.1588709677419,911.6391129032259,908.8535190615836,24.53844086021505,14.130376344086022,25.311693548387098,23.81801075268817,14.750806451612904,13.530510752688173,59.528225806451616,53.193548387096776,56.428763440860216,5.768548387096774,1.9778225806451613,2049
2019-11-30,0.22805555555555554,910.5201388888889,910.7934722222222,910.2456944444444,843.166691919192,23.867083333333333,17.485972222222223,24.561249999999998,23.225,17.99222222222222,16.993055555555557,72.61527777777778,66.55,69.6361111111111,5.568611111111111,1.955138888888889,892
2019-12-31,0.24650537634408604,911.2755376344086,911.5434139784946,911.007123655914,820.8241670739654,23.16774193548387,17.84731182795699,23.863978494623655,22.506586021505377,18.390456989247312,17.32674731182796,77.04704301075269,70.81586021505376,73.98521505376344,5.18763440860215,1.7922043010752688,118
2020-01-31,0.0,910.4922043010752,910.760752688172,910.2194892473119,777.0718301971326,23.388844086021503,19.074193548387097,24.040860215053765,22.747580645161293,19.59529569892473,18.545564516129033,81.16129032258064,75.31182795698925,78.29569892473118,4.959677419354839,1.7720430107526883,80
2020-02-29,0.0,912.0221264367816,912.283764367816,911.751867816092,737.661410440613,22.626436781609197,18.842097701149427,23.25919540229885,22.052586206896553,19.31206896551724,18.40646551724138,82.98850574712644,77.58045977011494,80.39080459770115,5.726149425287357,2.1517241379310343,114
2020-03-31,0.0,912.3073924731182,912.553494623656,912.0563172043011,828.8294768403639,22.872043010752687,16.927688172043013,23.573924731182796,22.207930107526884,17.469758064516128,16.411290322580644,74.21774193548387,68.10215053763442,71.18682795698925,5.174865591397849,1.7676075268817204,82
2020-04-30,0.0,913.8433333333332,914.0584722222222,913.6254166666668,790.9251709401709,22.155,15.73611111111111,22.860277777777778,21.503194444444443,16.238194444444446,15.286666666666665,71.77916666666667,66.27777777777777,69.02222222222223,4.533055555555555,1.6094444444444445,83
2020-05-31,0.0,915.3087365591397,915.5279569892474,915.0897849462366,709.7945461124897,18.324462365591398,11.614516129032259,19.053629032258065,17.61451612903226,12.119220430107529,11.109677419354838,70.88978494623656,65.22849462365592,68.09139784946237,4.497311827956989,1.606989247311828,166
2020-06-30,0.0,916.0661111111111,916.2795833333334,915.8534722222222,679.4237767094017,19.844166666666666,12.305833333333334,20.59847222222222,19.12763888888889,12.774444444444445,11.865138888888888,67.14027777777778,61.42638888888889,64.28888888888889,5.080972222222223,1.8697222222222223,272
2020-07-31,0.0,915.800806451613,916.0012096774194,915.5911290322581,729.130334987593,19.938575268817203,10.018548387096775,20.759139784946235,19.154435483870966,10.497043010752689,9.544086021505377,58.60349462365591,52.89381720430107,55.74327956989247,5.109677419354838,1.863037634408602,536
2020-08-31,0.002688172043010753,915.617876344086,915.8551075268816,915.3822580645161,819.6773779983457,20.686827956989248,8.24758064516129,21.49045698924731,19.906182795698925,8.730779569892473,7.759811827956989,50.88306451612903,45.831989247311824,48.303763440860216,5.970967741935484,2.089516129032258,1155
2020-09-30,0.007500000000000001,913.9930555555555,914.2411111111111,913.7458333333333,927.8470432692308,24.807777777777776,7.867500000000001,25.68013888888889,23.98625,8.407499999999999,7.332638888888889,40.34444444444444,35.88611111111111,38.09861111111111,5.789583333333334,1.9351388888888887,3467
2020-10-31,0.006989247311827957,911.1787634408602,911.4548387096775,910.9064516129033,782.6968884408602,25.096505376344084,13.996370967741935,25.80967741935484,24.43360215053763,14.477822580645162,13.504301075268819,58.22715053763441,53.35215053763441,55.844086021505376,5.848387096774193,2.0228494623655915,2404
2020-11-30,0.0,911.3919444444443,911.6588888888889,911.1236111111111,1004.6352638888889,23.38222222222222,14.45736111111111,24.199583333333333,22.632083333333334,15.17625,13.785138888888888,64.675,57.71527777777778,61.25,5.689444444444444,1.9362499999999998,281
2020-12-31,0.4553763440860215,911.2162634408603,911.5052419354839,910.9278225806452,753.3732954545454,22.85712365591398,18.074327956989247,23.569220430107528,22.21787634408602,18.661962365591396,17.5244623655914,79.39247311827957,72.52284946236558,76.12768817204301,5.017069892473118,1.6193548387096774,97
2021-01-31,0.17661290322580647,911.4487903225806,911.7048387096775,911.1969086021505,933.5898093841643,23.75725806451613,16.78266129032258,24.474596774193547,23.073521505376345,17.337096774193547,16.251478494623658,70.93682795698925,64.5241935483871,67.75,4.855241935483871,1.5686827956989247,96
2021-02-28,0.2357142857142857,910.3511904761905,910.6181547619047,910.0818452380952,823.2882316468254,22.726190476190474,17.589285714285715,23.429761904761904,22.090029761904763,18.147916666666667,17.088541666666668,77.92857142857143,71.38095238095238,74.70089285714286,4.972470238095238,1.5821428571428573,40
2021-03-31,0.1524193548387097,912.018682795699,912.2647849462365,911.7752688172044,846.583401399228,23.302688172043013,16.48736559139785,24.023924731182795,22.636290322580646,17.06787634408602,15.943817204301077,71.31854838709677,64.6774193548387,68.0497311827957,4.688844086021505,1.4876344086021505,230
2021-04-30,0.025,912.9821527777779,913.1942361111111,912.7549305555556,893.8960523504273,21.513333333333335,13.205972222222222,22.306597222222223,20.754375,13.754652777777778,12.637916666666666,65.16180555555556,58.65694444444444,61.93125,4.305486111111111,1.2883333333333333,150
2021-05-31,0.0,915.6577676971326,916.0526247013141,915.5677456690561,1931.0753808243726,24.29823215352449,11.77340016427718,24.815238575268815,22.799555704898445,12.661650612305856,11.224514635603345,52.911439665471924,45.45137022102748,47.33949372759857,6.285295325567502,2.2448140681003586,382
2021-06-30,0.0,916.1991005726121,916.664118948993,916.0992870776478,1904.5583382066277,22.750207622644574,11.402581526153345,23.16096765350877,21.014457642949967,12.28737623862898,10.744825373619232,57.273712638076674,49.194220069850545,50.78259624756335,6.154474801007148,2.177072977582846,519
2021-07-31,0.0,917.2351726089418,917.6184228211658,917.0461835031126,1659.6237576046974,21.39358641058291,5.052898627617431,22.190595819185056,19.703674129881154,5.782891199773628,4.340657717883418,42.74034380305603,35.257012238256934,37.5446201188455,6.42549518958687,2.0912174589700054,1302
2021-08-31,0.0,915.9346774193549,916.2919242831541,915.6722894265233,1592.035556675627,24.713894489247313,7.1784386200716845,25.10667002688172,22.769853270609318,7.853181003584229,6.703343413978495,40.993951612903224,34.974406362007166,35.500336021505376,7.1521729390681,2.2825044802867382,1941
2021-09-30,0.0,913.2618194444444,913.6510185185184,913.0443287037036,1835.632949074074,29.34823611111111,9.026273148148148,29.750513888888886,27.26485648148148,9.952324074074074,8.319666666666667,36.576388888888886,30.029537037037038,30.950694444444444,7.551379629629629,2.7727592592592596,5638
2021-10-31,0.04462365591397849,911.9520026881721,912.4611559139785,911.829502688172,2159.1297849462367,26.92388440860215,15.801747311827956,27.400309139784948,25.144717741935487,16.81412634408602,15.162217741935484,60.053763440860216,51.00793010752688,52.63575268817204,7.439838709677419,2.907970430107527,1627
2021-11-30,0.29930555555555555,910.0381249999999,910.3368055555555,909.8053472222222,1279.1559027777778,24.65652777777778,15.521388888888888,25.2625,23.706180555555555,16.34722222222222,14.891874999999999,65.42152777777778,58.3,60.96041666666667,5.565208333333333,1.830763888888889,140
2021-12-31,0.3032258064516129,909.2875,909.546370967742,909.0259408602151,869.0502688172044,22.951612903225808,17.176478494623655,23.64354838709677,22.309811827956988,17.713709677419356,16.649731182795698,74.90188172043011,68.51344086021506,71.80376344086021,5.3979838709677415,1.7565860215053766,45
2022-01-31,0.5467741935483871,910.8177419354839,911.0801075268816,910.5521505376345,737.7014723851418,22.523387096774197,17.9997311827957,23.213709677419356,21.91787634408602,18.52204301075269,17.49986559139785,80.39516129032258,74.15725806451613,77.40456989247312,4.958602150537634,1.596236559139785,110
2022-02-28,0.39107142857142857,911.2613095238095,911.519494047619,911.007142857143,764.9374323593073,22.70029761904762,17.93645833333333,23.348065476190477,22.088839285714286,18.445535714285715,17.450595238095236,79.27232142857143,73.0610119047619,76.19494047619048,4.694940476190476,1.4519345238095238,66
2022-03-31,0.1943548387096774,912.0219086021506,912.2717741935484,911.7693548387097,873.1616551459293,23.695430107526885,16.595967741935482,24.44771505376344,22.988575268817204,17.147849462365592,16.048790322580643,70.1747311827957,63.43413978494624,66.90053763440861,4.928897849462365,1.4869623655913977,190
2022-04-30,0.08972222222222222,912.7466666666667,912.978611111111,912.5166666666667,823.3371871184372,22.67625,15.761666666666667,23.40972222222222,21.993194444444445,16.31625,15.237361111111111,70.53194444444445,64.08611111111111,67.33888888888889,4.30375,1.2995833333333333,143
2022-05-31,0.08333333333333333,914.73561827957,914.9563172043011,914.5174731182796,688.9751085607941,18.453360215053763,11.403091397849462,19.159274193548388,17.776478494623657,11.918279569892475,10.91747311827957,69.23655913978494,63.350806451612904,66.26075268817205,4.418145161290322,1.3395161290322581,319
2022-06-30,0.0044444444444444444,914.9583333333334,915.164861111111,914.7493055555556,649.0213461538461,18.839166666666667,10.91013888888889,19.58638888888889,18.122916666666665,11.420694444444443,10.395833333333334,66.16388888888889,60.080555555555556,63.13611111111111,3.8975,1.1481944444444445,665
2022-07-31,0.0,916.0188172043011,916.2346774193549,915.8041666666667,769.0784015715467,19.839381720430108,8.900537634408602,20.66962365591398,19.036021505376343,9.341129032258065,8.475537634408603,55.149193548387096,49.64650537634409,52.36021505376344,4.986155913978495,1.4693548387096775,990
2022-08-31,0.034408602150537634,915.170430107527,915.4069892473119,914.9399193548388,746.1436311000826,20.66774193548387,8.389650537634408,21.468951612903226,19.912768817204302,8.847849462365591,7.918951612903226,51.26747311827957,46.233870967741936,48.79435483870968,5.375940860215054,1.5455645161290323,1120
2022-09-30,0.11361111111111111,913.1631944444445,913.4327777777778,912.897638888889,806.40265491453,22.76902777777778,11.044027777777778,23.535833333333333,22.03847222222222,11.546249999999999,10.536527777777778,55.37222222222222,50.265277777777776,52.856944444444444,5.931527777777777,1.855,2518
2022-10-31,0.22150537634408604,912.0989247311828,912.394623655914,911.8189516129033,851.1078293010752,23.51236559139785,14.306182795698923,24.25900537634409,22.824327956989247,14.93521505376344,13.723252688172044,62.99327956989247,56.55779569892473,59.818548387096776,5.642204301075269,1.681720430107527,1481
2022-11-30,0.18083333333333332,910.7230555555556,911.0180555555555,910.4455555555556,881.9159880050505,21.99013888888889,14.951527777777779,22.739305555555553,21.297083333333333,15.546944444444444,14.395138888888889,69.98194444444445,63.355555555555554,66.70972222222223,5.561944444444444,1.6768055555555554,154
