,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.2760752688172043,923.168817204301,923.4661290322581,922.8662634408602,1051.8253854875284,24.06733870967742,18.439919354838707,24.786290322580644,23.391532258064515,19.128763440860215,17.798387096774192,76.45295698924731,69.23790322580645,72.91397849462365,4.595967741935484,1.6551075268817206,542
2019-02-28,0.22901785714285716,921.4903273809524,921.7592261904762,921.171056547619,857.5191096230159,23.688839285714284,18.694122023809523,24.353869047619046,22.999702380952378,19.289434523809526,18.158779761904764,78.88095238095238,71.91666666666667,75.30580357142857,5.2943452380952385,2.121279761904762,290
2019-03-31,0.36397849462365595,922.772311827957,923.0474462365592,922.4932795698925,878.8951388888889,23.513978494623657,18.671102150537635,24.15443548387097,22.915188172043013,19.201209677419357,18.166666666666668,78.79704301075269,72.84139784946237,75.93279569892474,5.164381720430108,2.2091397849462364,159
2019-04-30,0.2916666666666667,922.7240277777778,922.9777777777778,922.4694444444444,756.6913639601139,23.426388888888887,18.572916666666668,24.007638888888888,22.86,19.0725,18.09375,78.68611111111112,73.02361111111111,75.90555555555555,4.270972222222222,1.7759722222222223,70
2019-05-31,0.03709677419354839,923.7745967741936,924.0029569892472,923.5405913978494,774.2897546673756,21.588978494623657,15.85268817204301,22.237903225806452,20.975940860215054,16.363172043010753,15.364650537634407,74.86424731182795,69.24462365591398,72.08467741935483,4.438172043010753,1.873790322580645,113
2019-06-30,0.005833333333333334,926.2125,926.4258333333333,925.9943055555556,792.0182142857144,21.003888888888888,11.32638888888889,21.74361111111111,20.264305555555556,11.85611111111111,10.83,59.68333333333333,54.025,56.797222222222224,5.100138888888889,2.2020833333333334,397
2019-07-31,0.0008064516129032259,925.738306451613,925.9635752688172,925.5137096774193,739.4237186872267,20.390860215053763,8.321774193548386,21.286155913978494,19.50255376344086,8.851747311827957,7.780510752688172,52.295698924731184,46.48790322580645,49.348118279569896,5.323521505376344,2.285752688172043,747
2019-08-31,0.02903225806451613,926.3548387096774,926.5969086021505,926.114247311828,747.5286238626965,22.26290322580645,9.683736559139785,23.05860215053763,21.443413978494622,10.201747311827958,9.17029569892473,51.75672043010753,46.52150537634409,49.071236559139784,6.256720430107527,2.87741935483871,2430
2019-09-30,0.09361111111111112,922.8098611111111,923.0656944444445,922.5625,875.2113310185185,26.054444444444446,11.828750000000001,26.917777777777776,25.195555555555554,12.429166666666667,11.24638888888889,50.109722222222224,44.55555555555556,47.25833333333333,6.311805555555556,2.758888888888889,3210
2019-10-31,0.21559139784946238,921.6172043010752,921.9087365591397,921.3282258064515,886.1542654366242,24.561559139784944,16.266666666666666,25.403629032258063,23.790860215053765,16.996774193548386,15.581989247311828,67.6491935483871,59.92741935483871,63.79704301075269,5.916129032258065,2.411290322580645,2310
