,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.04477611940298507,970.7830845771144,971.0319999999999,970.534,713.231037122082,24.866169154228857,20.620398009950247,25.363000000000003,24.348000000000003,20.988000000000003,20.227999999999998,80.34,76.995,78.71144278606965,2.347,0.7333333333333334,576
2019-02-28,0.04477611940298507,970.7830845771144,971.0319999999999,970.534,713.231037122082,24.866169154228857,20.620398009950247,25.363000000000003,24.348000000000003,20.988000000000003,20.227999999999998,80.34,76.995,78.71144278606965,2.347,0.7333333333333334,709
2019-03-31,0.04477611940298507,970.7830845771144,971.0319999999999,970.534,713.231037122082,24.866169154228857,20.620398009950247,25.363000000000003,24.348000000000003,20.988000000000003,20.227999999999998,80.34,76.995,78.71144278606965,2.347,0.7333333333333334,1188
2019-04-30,0.04477611940298507,970.7830845771144,971.0319999999999,970.534,713.231037122082,24.866169154228857,20.620398009950247,25.363000000000003,24.348000000000003,20.988000000000003,20.227999999999998,80.34,76.995,78.71144278606965,2.347,0.7333333333333334,708
2019-05-31,0.04477611940298507,970.7830845771144,971.0319999999999,970.534,713.231037122082,24.866169154228857,20.620398009950247,25.363000000000003,24.348000000000003,20.988000000000003,20.227999999999998,80.34,76.995,78.71144278606965,2.347,0.7333333333333334,1118
2019-06-30,0.0,972.639861111111,972.8594444444445,972.416388888889,719.2318803418804,24.464583333333334,18.172083333333333,25.089166666666667,23.827361111111113,18.578888888888887,17.735416666666666,72.76944444444445,68.45277777777778,70.62361111111112,2.8049999999999997,0.9909722222222223,2151
2019-07-31,0.0018817204301075268,972.618682795699,972.8465053763441,972.3913978494624,785.8091397849462,24.372311827956988,14.991263440860216,25.12217741935484,23.59462365591398,15.43010752688172,14.53481182795699,61.87903225806452,56.935483870967744,59.388440860215056,3.315994623655914,1.1556451612903225,2326
2019-08-31,0.01021505376344086,972.833870967742,973.1,972.5712365591398,778.5176902398678,25.549865591397847,14.459677419354838,26.341397849462364,24.766935483870967,14.895295698924732,14.017741935483873,56.274193548387096,51.44220430107527,53.88306451612903,3.8053763440860213,1.2780913978494624,8030
2019-09-30,0.08583333333333333,970.0293055555555,970.3441666666668,969.7251388888889,851.6390803062678,27.50986111111111,18.9575,28.178055555555556,26.849583333333335,19.395,18.515,65.67083333333333,61.05,63.37222222222222,3.507222222222222,0.9027777777777778,10747
2019-10-31,0.20456989247311827,969.75,970.107930107527,969.394623655914,808.8345542114695,25.016263440860214,21.028494623655916,25.50577956989247,24.546639784946237,21.412499999999998,20.66021505376344,81.36021505376344,77.98252688172043,79.6989247311828,3.2028225806451616,0.7801075268817204,1774
2019-11-30,0.29944444444444446,968.4893055555556,968.8172222222222,968.1601388888889,801.652662037037,25.067222222222224,21.773611111111112,25.514722222222222,24.640416666666663,22.115555555555556,21.459583333333335,84.09305555555555,81.33194444444445,82.74166666666666,2.9895833333333335,0.7411111111111112,1176
