,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.2056451612903226,1010.6533602150537,1010.9426075268818,1010.3666666666667,688.8282016348774,26.713306451612905,23.131720430107528,27.17190860215054,26.305779569892472,23.545967741935485,22.74838709677419,82.74193548387096,79.3508064516129,81.14381720430107,6.12016129032258,2.1263440860215055,355
2019-02-28,0.5553571428571429,1010.1363095238095,1010.4366071428572,1009.8418154761904,563.5078125,26.02485119047619,23.077827380952378,26.48482142857143,25.613690476190477,23.489434523809525,22.70520833333333,85.77529761904762,82.43154761904762,84.20238095238095,5.615029761904762,1.7547619047619047,80
2019-03-31,0.6169354838709677,1010.7748655913979,1011.0837365591399,1010.4662634408603,575.4568548387097,25.680779569892472,22.971370967741937,26.10510752688172,25.31021505376344,23.357795698924733,22.641801075268816,86.86962365591398,83.84408602150538,85.43279569892474,5.073252688172043,1.6141129032258066,46
2019-04-30,0.43347222222222226,1010.3768749999999,1010.6816666666667,1010.0695833333333,627.236863425926,26.1025,23.339583333333334,26.554652777777775,25.68722222222222,23.733333333333334,22.988888888888887,86.78333333333333,83.32083333333334,85.125,4.985486111111111,1.6722916666666665,38
2019-05-31,0.2280913978494624,1009.9727822580645,1010.2655241935485,1009.6771505376345,747.7888216845878,27.112701612903223,23.59831989247312,27.736559139784948,26.55060483870968,24.145026881720433,23.151276881720428,83.73185483870968,79.15255376344086,81.51814516129032,5.561895161290323,2.03877688172043,80
2019-06-30,0.0,1011.58625,1011.8454166666666,1011.3299999999999,780.953136574074,27.610416666666666,23.356527777777778,28.094583333333333,27.143194444444443,23.799583333333334,22.933194444444446,80.01944444444445,75.92222222222222,78.04583333333333,6.075833333333334,2.4952777777777775,315
2019-07-31,0.048118279569892466,1011.6962365591398,1011.9454301075269,1011.4400537634409,829.9615927419355,27.50712365591398,22.890994623655917,27.986693548387095,27.056317204301077,23.35766129032258,22.463709677419356,78.40725806451613,74.36021505376344,76.43010752688173,6.172043010752688,2.577016129032258,1443
2019-08-31,0.04139784946236559,1012.442876344086,1012.6969086021505,1012.1881720430108,876.8790658602151,27.78682795698925,22.8,28.236962365591395,27.3497311827957,23.236693548387095,22.390725806451613,76.56989247311827,72.72311827956989,74.69354838709677,7.348790322580645,3.026747311827957,10185
2019-09-30,0.009166666666666667,1010.8931944444444,1011.1468055555555,1010.6431944444444,964.5279629629629,28.104444444444447,22.480416666666667,28.52388888888889,27.728055555555557,22.875833333333333,22.119305555555556,73.51666666666667,70.09166666666667,71.85555555555555,8.272499999999999,3.4412499999999997,4618
2019-10-31,0.0059139784946236566,1009.4038978494624,1009.6701612903225,1009.1326612903225,992.8417476564654,28.34771505376344,22.292069892473116,28.78951612903226,27.95806451612903,22.714381720430108,21.93037634408602,71.89516129032258,68.34005376344086,70.14247311827957,8.09986559139785,3.3551075268817203,3870
2019-11-30,0.07222222222222222,1008.2240277777778,1008.49625,1007.9531944444445,959.6869978632478,28.43097222222222,22.620694444444442,28.861527777777777,28.054444444444446,23.025138888888886,22.264027777777777,72.86527777777778,69.4125,71.16388888888889,7.652222222222223,3.1194444444444445,7390
2019-12-31,0.0,1008.5052419354839,1008.7744623655914,1008.2306451612903,837.2989600565205,28.451075268817203,23.054973118279573,28.884543010752687,28.05672043010753,23.44529569892473,22.691129032258065,74.73521505376344,71.0524193548387,72.94220430107526,8.458467741935484,3.402956989247312,1745
2020-01-31,0.2989247311827957,1010.2551075268818,1010.550806451613,1009.9619623655914,568.26091749872,26.092473118279568,23.043548387096777,26.545564516129033,25.663172043010753,23.443413978494625,22.656182795698925,85.28494623655914,81.99193548387096,83.73387096774194,4.9799731182795695,1.6823924731182796,225
2020-02-29,0.572172623970762,1009.5691222909625,1009.7630878082039,1009.1047660216678,371.9591161268761,25.22164076583809,22.995062089983286,25.565757732025634,24.897253087620975,23.298756356866715,22.703240218209178,89.00634389351599,86.44732071041228,87.96754920200603,4.069447620354279,1.2039221648558305,64
2020-03-31,0.034567413510920485,1008.0743199390485,1008.0743199390485,1007.2829617924264,54.742694489122144,24.18814690445285,22.803456741351095,24.315794300225736,24.095055022573366,22.915554458239278,22.694815180586907,92.58521444695259,91.49880079006772,92.58519103786895,1.2812334217506631,0.05357949094192675,63
2020-04-30,0.07587899994356341,1008.1631398498787,1008.1631398498787,1007.3821095998646,100.37211969863709,24.293491449856088,22.807587899994356,24.454180304740404,24.208655474040633,22.93414362302483,22.688618792325055,92.08950338600451,90.89981659142212,92.08945200067723,1.3783156498673739,0.11761244991252329,38
2020-05-31,0.11719058637620634,1008.2519597607088,1008.2519597607088,1007.4812574073029,146.00154490815203,24.398835995259326,22.81171905863762,24.59256630925508,24.322255925507903,22.952732787810383,22.682422404063203,91.59379232505644,90.30083239277653,91.59371296348552,1.4753978779840848,0.18164540888311984,88
2020-06-30,0.15850217280884926,1008.3407796715389,1008.3407796715389,1007.5804052147413,191.63097011766698,24.504180540662567,22.815850217280886,24.73095231376975,24.435856376975167,22.971321952595936,22.676226015801355,91.09808126410836,89.70184819413093,91.0979739262938,1.5724801061007958,0.24567836785371636,491
2020-07-31,0.19981375924149222,1008.4295995823693,1008.4295995823693,1007.6795530221796,237.26039532718193,24.60952508606581,22.81998137592415,24.869338318284424,24.549456828442437,22.989911117381485,22.670029627539506,90.60237020316028,89.10286399548532,90.6022348891021,1.6695623342175068,0.3097113268243129,2687
