,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.14596774193548387,945.5447580645161,945.8137096774194,945.2814516129033,1046.09768707483,26.04422043010753,15.790994623655914,26.72016129032258,25.40766129032258,16.385887096774194,15.226209677419353,59.93279569892473,54.219086021505376,57.071236559139784,6.14005376344086,2.7626344086021506,42.0
2019-02-28,0.09970238095238096,944.5093750000001,944.8028273809524,944.2142857142857,993.4613839285715,26.10669642857143,17.691369047619048,26.75907738095238,25.497172619047618,18.242113095238096,17.179613095238096,66.1875,60.70238095238095,63.43154761904762,5.805654761904762,2.579017857142857,7.0
2019-03-31,0.23413978494623655,944.9146505376344,945.2145161290322,944.6193548387098,938.345127688172,25.936155913978496,17.575806451612902,26.616129032258065,25.296774193548387,18.15268817204301,17.015456989247312,66.59543010752688,60.81182795698925,63.75,5.3930107526881725,2.2548387096774194,4.0
2019-04-30,0.14055555555555557,944.9191666666667,945.1879166666668,944.6484722222223,913.1722222222222,25.487083333333334,18.607916666666668,26.153194444444445,24.8875,19.135277777777777,18.110694444444444,70.95138888888889,65.41666666666667,68.22777777777777,4.725833333333333,1.8893055555555556,3.5
2019-05-31,0.03763440860215054,945.3763440860215,945.6229838709677,945.1301075268818,850.3996639784946,24.79045698924731,17.38010752688172,25.398521505376344,24.203897849462365,17.86962365591398,16.905241935483872,68.85349462365592,63.666666666666664,66.3024193548387,4.609543010752688,1.9518817204301075,3.0
2019-06-30,0.034999999999999996,947.7880555555556,948.0134722222222,947.5616666666667,718.5476041666667,23.485416666666666,15.473472222222222,24.107777777777777,22.885555555555552,15.96111111111111,14.979027777777777,66.41944444444445,61.266666666666666,63.875,5.289444444444444,2.282638888888889,2.0
2019-07-31,0.05806451612903226,947.9099462365591,948.1356182795699,947.6818548387098,677.6663642473119,22.565725806451614,15.77002688172043,23.139247311827955,22.0372311827957,16.21706989247312,15.331586021505377,70.61424731182795,65.65591397849462,68.19220430107526,5.66505376344086,2.563440860215054,4.0
2019-08-31,0.008870967741935484,949.2217741935484,949.4603494623656,948.984005376344,827.2740255376344,22.43790322580645,14.18736559139785,23.13266129032258,21.803225806451614,14.723118279569892,13.699193548387099,65.5,60.03629032258065,62.74731182795699,6.051612903225806,2.7594086021505375,41.0
2019-09-30,0.0,947.1397222222222,947.4033333333334,946.8819444444445,1017.375763888889,24.554305555555555,14.163333333333334,25.261249999999997,23.89597222222222,14.693472222222221,13.620694444444444,58.81805555555555,53.515277777777776,56.205555555555556,6.994861111111112,3.403611111111111,139.0
2019-10-31,0.00026881720430107527,945.2174731182796,945.4975806451612,944.932123655914,1141.4026545698923,25.701478494623657,13.742741935483872,26.426344086021505,25.03481182795699,14.353494623655914,13.1502688172043,54.83467741935484,49.403225806451616,52.123655913978496,7.872849462365591,3.898521505376344,332.0
2019-11-30,0.0,943.6230555555555,943.90125,943.3468055555555,1171.9689236111112,26.771666666666665,13.792222222222222,27.500555555555557,26.092916666666667,14.390277777777778,13.164722222222222,52.31944444444444,46.855555555555554,49.62638888888889,7.888472222222222,3.9006944444444445,351.0
2019-12-31,0.0,943.9135752688171,944.1766129032259,943.6522849462366,1126.6407930107528,26.99489247311828,14.319489247311829,27.718413978494624,26.335618279569893,14.89731182795699,13.706586021505377,53.0255376344086,47.70564516129032,50.446236559139784,7.723387096774193,3.794489247311828,259.0
2020-01-31,0.0,944.4385752688173,944.7087365591399,944.1650537634409,1006.8194220430108,27.045564516129033,16.2744623655914,27.703763440860214,26.446908602150536,16.827956989247312,15.723655913978494,58.428763440860216,53.16532258064516,55.84543010752688,6.675940860215054,3.1684139784946237,63.0
2020-02-29,0.0,944.6446839080459,944.9211206896551,944.3693965517241,1012.639367816092,26.51652298850575,17.941235632183908,27.1382183908046,25.925718390804597,18.533477011494252,17.38764367816092,65.19396551724138,59.650862068965516,62.435344827586206,5.757471264367815,2.49683908045977,16.0
2020-03-31,0.008064516129032258,944.582056451613,944.8763440860215,944.2872311827956,928.9136424731183,25.199193548387097,19.55369623655914,25.81081989247312,24.6559811827957,20.069690860215054,19.061559139784944,75.41129032258064,70.41733870967742,73.0013440860215,4.365658602150538,1.5985887096774192,3.0
2020-04-30,0.0,945.3906944444445,945.6430555555555,945.1301388888888,932.2155074786325,25.013194444444444,19.19402777777778,25.58388888888889,24.48777777777778,19.708472222222223,18.71875,74.73611111111111,69.72777777777777,72.29583333333333,4.354583333333333,1.7581944444444446,1.0
2020-05-31,0.0,946.616935483871,946.8516129032258,946.3852150537634,822.6062603391233,23.83454301075269,18.79287634408602,24.410080645161287,23.281989247311827,19.253629032258065,18.351344086021506,77.1491935483871,72.59677419354838,74.93548387096774,4.178494623655914,1.6559139784946237,2.5
2020-06-30,0.0022222222222222222,947.2076388888889,947.4230555555555,946.9894444444445,737.4259748931623,22.355694444444445,17.047361111111112,22.990694444444443,21.778472222222224,17.528055555555557,16.577638888888888,76.06527777777778,71.32777777777778,73.79166666666667,4.752777777777778,1.9658333333333335,4.0
2020-07-31,0.0,947.3239247311828,947.5400537634409,947.0998655913979,796.887063172043,21.873924731182797,14.852150537634408,22.588306451612905,21.216935483870966,15.410349462365591,14.324596774193548,69.97043010752688,64.66666666666667,67.36827956989248,5.327284946236559,2.2717741935483873,5.0
