,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.013440860215053764,970.9291666666667,971.1948924731183,970.6618279569893,785.2753432282004,29.01290322580645,14.590994623655915,29.678091397849464,28.39744623655914,15.067204301075268,14.112903225806452,45.973118279569896,41.68010752688172,43.848118279569896,7.736827956989247,3.6411290322580645,67
2019-02-28,0.1017857142857143,969.550744047619,969.8544642857142,969.242857142857,740.8005603771229,28.894494047619045,17.437202380952378,29.513988095238098,28.304017857142856,17.95044642857143,16.92232142857143,55.19047619047619,50.336309523809526,52.79017857142857,6.040327380952381,2.6266369047619045,9
2019-03-31,0.08360215053763441,970.2080645161291,970.5084677419355,969.9038978494624,780.5581007030604,28.19516129032258,17.842741935483872,28.799462365591395,27.595295698924733,18.338037634408604,17.359274193548387,58.505376344086024,53.461021505376344,55.950268817204304,6.026478494623656,2.6594086021505374,15
2019-04-30,0.042222222222222223,970.2680555555555,970.5472222222222,969.9883333333333,738.5595085470085,28.2975,17.989583333333332,28.905277777777776,27.76013888888889,18.415138888888887,17.584583333333335,57.87222222222222,53.459722222222226,55.69583333333333,6.1786111111111115,2.8743055555555554,11
2019-05-31,0.028494623655913976,970.7787634408603,971.0493279569891,970.5088709677419,688.6652915632754,28.05228494623656,16.23037634408602,28.649865591397848,27.4755376344086,16.66491935483871,15.761962365591398,53.51747311827957,48.84543010752688,51.18279569892473,6.897983870967742,3.251478494623656,12
2019-06-30,0.010833333333333334,974.1193055555556,974.3616666666667,973.87875,587.8250053418803,25.37333333333333,15.716111111111111,25.93097222222222,24.866944444444446,16.098055555555558,15.322916666666666,60.12222222222222,55.59305555555556,57.90277777777778,8.081805555555555,3.916388888888889,5
2019-07-31,0.0024193548387096775,974.2041666666667,974.4551075268816,973.9552419354839,609.8800971877585,24.803763440860216,14.857123655913979,25.36505376344086,24.282258064516128,15.231317204301076,14.496102150537634,58.63978494623656,54.28225806451613,56.43682795698925,8.29529569892473,4.042069892473118,5
2019-08-31,0.005645161290322581,975.424193548387,975.691935483871,975.1590053763441,714.9252274607113,24.996236559139785,13.981854838709678,25.61451612903226,24.42701612903226,14.392876344086021,13.583870967741936,55.44220430107527,50.82258064516129,53.115591397849464,8.618817204301076,4.243548387096774,14
2019-09-30,0.0011111111111111111,972.7037499999999,972.995,972.4197222222222,780.6012232905983,27.17763888888889,13.799722222222222,27.855694444444442,26.542361111111113,14.271111111111113,13.330694444444445,49.359722222222224,44.736111111111114,47.047222222222224,8.40861111111111,4.035277777777778,76
2019-10-31,0.007795698924731183,970.421370967742,970.7174731182796,970.119623655914,815.759307795699,28.521908602150535,13.965860215053764,29.201075268817203,27.872311827956988,14.413172043010752,13.493010752688171,45.979838709677416,41.723118279569896,43.869623655913976,8.318682795698924,3.9818548387096775,204
2019-11-30,0.0011111111111111111,968.447361111111,968.7366666666667,968.1601388888889,830.6457638888888,29.718611111111112,13.978333333333333,30.414166666666667,29.04652777777778,14.493333333333334,13.4725,43.425,39.13194444444444,41.25138888888889,7.483055555555556,3.4943055555555556,246
2019-12-31,0.045430107526881716,968.7970430107526,969.0717741935484,968.5189516129032,807.9100160256411,29.846102150537636,13.944623655913977,30.54932795698925,29.187365591397853,14.475537634408601,13.409543010752689,42.90725806451613,38.63978494623656,40.81720430107527,7.430510752688172,3.485752688172043,176
2020-01-31,0.12903225806451613,969.7540322580645,970.0293010752689,969.4791666666666,704.5040520747174,28.065456989247313,17.572715053763442,28.622849462365593,27.540188172043013,18.119354838709675,17.065860215053764,58.39784946236559,53.733870967741936,56.04838709677419,5.523252688172043,2.4419354838709677,105
2020-02-29,0.028735632183908046,970.0941091954023,970.373132183908,969.8158045977012,727.5392361111111,28.22227011494253,18.23807471264368,28.81278735632184,27.686637931034486,18.692959770114943,17.775,59.122126436781606,54.57183908045977,56.89367816091954,5.883333333333334,2.6491379310344825,36
2020-03-31,0.14838709677419354,969.9564516129032,970.2556451612902,969.658064516129,671.152129859388,27.48212365591398,19.51424731182796,28.04516129032258,26.978629032258063,19.997580645161293,19.054032258064517,65.96236559139786,61.013440860215056,63.52150537634409,5.859677419354839,2.580913978494624,14
2020-04-30,0.10583333333333333,971.0129166666667,971.2856944444444,970.7329166666666,669.6682799145299,27.044027777777778,19.114722222222223,27.603194444444444,26.503055555555555,19.566944444444445,18.691666666666666,66.16666666666667,61.25694444444444,63.67916666666667,6.190555555555555,2.754027777777778,11
2020-05-31,0.008602150537634409,972.5141129032259,972.765994623656,972.2625,576.7943444995864,26.308333333333334,18.224462365591396,26.879704301075268,25.794758064516127,18.564919354838707,17.88965053763441,65.02284946236558,60.674731182795696,62.880376344086024,7.074059139784946,3.268010752688172,2
2020-06-30,0.023333333333333334,973.4902777777778,973.72625,973.2565277777777,549.4662553418804,24.71125,17.099583333333335,25.305555555555557,24.184166666666666,17.460555555555555,16.75777777777778,66.89444444444445,62.21527777777778,64.60833333333333,7.78375,3.7125,10
2020-07-31,0.006989247311827957,973.7297043010753,973.9704301075269,973.4869623655915,609.3941066997519,24.248790322580643,15.060752688172045,24.866801075268818,23.680645161290325,15.459408602150537,14.674059139784946,61.33870967741935,56.57661290322581,58.9744623655914,8.108736559139784,3.877688172043011,16
2020-08-31,0.0059139784946236566,973.6975806451613,973.9688172043011,973.4302419354839,697.2194892473118,24.745698924731183,14.448924731182796,25.363709677419354,24.17244623655914,14.844220430107528,14.077150537634408,57.791666666666664,53.26209677419355,55.52956989247312,8.424999999999999,4.074865591397849,18
2020-09-30,0.0002777777777777778,972.6144444444445,972.9116666666667,972.3213888888889,809.900405982906,26.625694444444445,13.530555555555555,27.322916666666668,25.981944444444444,14.00111111111111,13.065555555555557,50.00138888888889,45.330555555555556,47.68472222222222,8.499583333333334,4.093472222222222,128
2020-10-31,0.0013440860215053765,969.9529569892474,970.2551075268818,969.6563172043011,824.8478158602151,29.22016129032258,13.951747311827958,29.963037634408604,28.541397849462363,14.494086021505376,13.408333333333333,44.93682795698925,40.25806451612903,42.623655913978496,7.442607526881721,3.3893817204301073,270
2020-11-30,0.20833333333333334,969.8498611111112,970.1280555555555,969.5654166666666,723.8054513888889,26.950138888888887,17.467916666666667,27.52097222222222,26.42902777777778,17.906805555555554,17.014722222222222,60.74722222222222,56.19027777777778,58.53055555555556,6.959583333333333,3.2505555555555556,214
