,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.41801075268817206,947.0173387096775,947.3149193548388,946.717876344086,755.61621253406,23.806182795698923,20.02741935483871,24.37849462365591,23.252956989247313,20.48508064516129,19.575806451612902,83.45430107526882,77.75940860215054,80.63306451612904,4.385349462365591,1.6594086021505374,33
2019-02-28,0.5339285714285714,946.2625,946.5775297619048,945.9449404761905,711.6883928571428,23.88125,20.55297619047619,24.469940476190477,23.333928571428572,20.99300595238095,20.114136904761907,85.27678571428571,79.62797619047619,82.58779761904762,4.379166666666667,1.6017857142857144,22
2019-03-31,0.4685483870967742,946.5584677419355,946.8711021505376,946.2478494623656,761.200858147229,24.339919354838713,20.601478494623656,24.901881720430108,23.811693548387098,21.033602150537636,20.18010752688172,83.48924731182795,78.08602150537635,80.90188172043011,4.391532258064516,1.7241935483870967,28
2019-04-30,0.29527777777777775,946.514861111111,946.8031944444446,946.2231944444444,679.8660897435898,24.383194444444445,20.499027777777776,24.931111111111115,23.85263888888889,20.916944444444447,20.101944444444445,82.78472222222223,77.42916666666666,80.14166666666667,3.890277777777778,1.5123611111111113,26
2019-05-31,0.028763440860215057,947.2549731182795,947.4970430107528,947.0127688172043,742.3035566583953,24.42231182795699,18.47405913978495,25.04314516129032,23.829032258064515,18.923924731182794,18.004032258064516,74.18413978494624,68.66263440860214,71.5241935483871,4.220833333333333,1.746505376344086,50
2019-06-30,0.0002777777777777778,948.9009027777778,949.1174305555556,948.6826388888888,758.8650890313389,25.15590277777778,16.199583333333333,25.805069444444445,24.49520833333333,16.63076388888889,15.762777777777778,62.540277777777774,57.25972222222222,59.84375,4.5586111111111105,2.0193055555555555,170
2019-07-31,0.0,949.1562211981567,949.3666173835126,948.9426657706094,1163.8872535842295,26.907565284178187,12.666705069124424,27.858888888888888,25.940259856630824,13.21996863799283,11.992163978494624,46.19578853046595,39.77105734767025,42.91282642089094,5.875109206989247,2.4746146953405015,780
2019-08-31,0.007526881720430107,949.6461517762489,950.0631257256802,949.551575483366,1406.4661602680599,28.44803822937626,11.947681384002943,29.274738818213944,27.375544512595283,12.598479415922057,11.269558912615478,40.661378666262806,35.10248498157404,37.44338477099154,6.603261419998486,2.7139246049775356,5593
2019-09-30,0.02361111111111111,948.2174507042254,950.1905432316119,949.2923395931142,2080.501731611894,30.526126369327073,17.08755066510172,30.853154147104853,29.106016040688573,17.06339534428795,15.259747456964007,50.04801056338029,43.33622848200313,46.548581768388104,6.291820534707858,3.077064945226917,3644
2019-10-31,0.0,946.7618662777397,947.561264870739,946.7527668153741,2614.530280828186,29.74006205673759,18.733444005948297,30.331859700297418,28.356297757950127,19.729410032029282,17.738412834591628,57.50360043468314,48.770561656371534,52.13144875314573,5.71532484045353,2.1460086364676276,556
