,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.4032258064516129,1009.0327956989248,1009.3254032258064,1008.731317204301,810.7550340136054,23.75779569892473,20.468145161290323,24.301075268817204,23.276612903225807,20.954032258064515,20.035618279569892,85.14784946236558,80.5,82.90188172043011,6.314381720430107,2.716666666666667,33
2019-02-28,0.07916666666666668,1009.8875,1010.1416666666667,1009.633630952381,937.8294642857143,22.63660714285714,17.823065476190475,23.319196428571427,21.971875,18.45922619047619,17.213244047619046,79.3422619047619,73.31547619047619,76.3422619047619,5.414434523809524,2.1845238095238093,48
2019-03-31,0.03602150537634409,1012.2942204301075,1012.5188172043011,1012.058064516129,763.9470318100358,20.986693548387098,16.538306451612904,21.655779569892474,20.361962365591395,17.072849462365593,15.996370967741935,80.38306451612904,74.97849462365592,77.80645161290323,6.048521505376344,2.656317204301075,94
2019-04-30,0.125,1012.0391666666666,1012.2815277777777,1011.7918055555555,560.1959341931216,19.335416666666667,15.523472222222221,19.952361111111113,18.76388888888889,16.03638888888889,15.058611111111112,82.90277777777777,78.0375,80.49722222222222,5.367222222222223,2.223333333333333,54
2019-05-31,0.051075268817204304,1013.6072580645161,1013.8708333333334,1013.3389784946236,394.46514976958525,16.40282258064516,13.826881720430109,16.933198924731183,15.891532258064515,14.289112903225806,13.36747311827957,87.84408602150538,83.77150537634408,85.88440860215054,4.642069892473118,1.9365591397849462,26
2019-06-30,0.21611111111111111,1013.677361111111,1013.9645833333333,1013.3945833333333,325.48819444444445,15.32486111111111,12.839166666666667,15.853055555555557,14.781527777777779,13.269722222222223,12.40986111111111,88.11805555555556,84.28472222222223,86.21388888888889,5.00875,2.1615277777777777,134
2019-07-31,0.21854838709677418,1016.0157258064515,1016.3068548387098,1015.7362231182796,373.65824692780336,11.214852150537634,8.609677419354838,11.754637096774195,10.676008064516129,9.044556451612904,8.167809139784946,87.41397849462365,83.25,85.32728494623656,5.025403225806452,2.171774193548387,379
2019-08-31,0.2553763440860215,1018.1935483870968,1018.5237903225806,1017.8319892473119,511.2386240103982,11.773387096774194,9.191129032258065,12.343817204301073,11.222715053763443,9.69005376344086,8.710752688172043,87.69354838709677,83.32930107526882,85.5725806451613,5.658198924731183,2.661021505376344,1647
2019-09-30,0.18,1014.8081944444444,1015.21375,1014.46875,733.5392788461539,13.786944444444446,9.9,14.365833333333333,13.207777777777778,10.529305555555556,9.273888888888889,82.82916666666667,77.0625,79.97222222222223,5.731111111111111,2.564166666666667,523
2019-10-31,0.4825268817204301,1011.9864247311829,1012.4287634408602,1011.5016129032257,641.566505000376,17.781586021505376,14.317069892473118,18.274865591397848,17.301747311827956,14.840456989247311,13.811290322580646,84.74193548387096,79.68682795698925,82.26612903225806,7.182123655913978,3.102956989247312,104
2019-11-30,0.09888888888888889,1010.0897222222222,1010.3706944444444,1009.8129166666668,951.015946969697,20.858472222222222,15.940833333333332,21.43875,20.303055555555556,16.574583333333333,15.329305555555557,78.74444444444444,73.26666666666667,76.05277777777778,6.330833333333333,2.644722222222222,53
2019-12-31,0.11693548387096774,1008.0729838709678,1008.358064516129,1007.7877688172043,1100.5711693548387,22.571102150537637,15.467876344086022,23.30161290322581,21.870967741935484,16.238709677419354,14.721774193548388,71.68548387096774,65.125,68.44489247311827,6.264516129032258,2.604435483870968,101
2020-01-31,0.07688172043010753,1008.4131720430108,1008.6474462365591,1008.1576612903226,1020.2478494623656,23.22217741935484,18.229032258064514,23.890456989247312,22.596505376344084,18.85510752688172,17.626478494623658,78.47177419354838,72.60752688172043,75.63172043010752,6.224193548387097,2.515456989247312,32
2020-02-29,0.12327586206896551,1010.5744252873563,1010.7932471264368,1010.3367816091954,1012.8032327586208,22.704597701149424,17.433477011494254,23.41508620689655,22.02126436781609,18.004597701149425,16.848994252873563,77.27298850574712,71.36350574712644,74.40086206896552,6.333333333333333,2.7770114942528736,89
2020-03-31,0.054032258064516135,1012.1557795698925,1012.3819892473118,1011.9245967741936,786.6324820788531,22.459005376344088,18.44704301075269,23.08844086021505,21.84220430107527,18.96290322580645,17.913172043010753,82.54032258064517,77.52150537634408,80.09811827956989,5.731854838709677,2.457930107526882,227
2020-04-30,0.11222222222222222,1013.6698611111112,1013.9008333333333,1013.4279166666666,589.356078042328,18.536944444444444,13.986527777777777,19.21013888888889,17.91875,14.53125,13.52,80.04583333333333,74.81944444444444,77.42777777777778,6.5256944444444445,3.056666666666667,457
2020-05-31,0.2196236559139785,1012.8692204301075,1013.1108870967741,1012.6215053763441,464.8590533794163,14.975806451612904,11.013037634408603,15.595430107526882,14.362231182795698,11.470295698924732,10.528629032258065,81.41666666666667,76.8010752688172,79.15591397849462,5.513172043010753,2.550672043010753,423
2020-06-30,0.21,1012.5466666666666,1012.8748611111112,1012.2430555555555,306.80329365079365,13.415694444444444,11.214027777777778,13.870694444444444,12.97625,11.596944444444443,10.826527777777779,89.22916666666667,85.73472222222222,87.55972222222222,5.242916666666667,2.1794444444444445,158
