,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.21612903225806454,1013.0673387096774,1013.3439516129033,1012.7900537634409,860.5123995052567,25.95456989247312,22.381720430107528,26.46478494623656,25.473387096774193,22.925403225806452,21.893145161290324,84.18145161290323,79.27553763440861,81.77016129032258,4.590860215053763,2.1458333333333335,41
2019-02-28,0.2883928571428571,1013.0029761904761,1013.2699404761905,1012.7360119047619,825.5058700847763,23.676934523809525,20.43541666666667,24.219345238095237,23.174107142857142,21.00327380952381,19.888392857142858,85.58184523809524,80.3764880952381,83.0952380952381,4.420014880952381,1.9881696428571427,10
2019-03-31,0.2739247311827957,1015.6237903225806,1015.8666666666667,1015.3815860215054,683.0889000896058,22.621908602150537,20.50584677419355,23.15456989247312,22.12849462365591,21.04072580645161,20.00396505376344,90.1633064516129,85.00470430107526,87.8239247311828,4.317876344086022,1.932258064516129,22
2019-04-30,0.18777777777777777,1014.7591666666666,1015.0031944444445,1014.5195833333333,535.2997115384616,21.74125,20.213966503267972,22.21527777777778,21.304583333333333,20.71136574074074,19.723310185185184,91.61597222222223,86.48009259259258,89.61875,3.9331944444444447,1.8015277777777776,12
2019-05-31,0.532258064516129,1016.527688172043,1016.811559139785,1016.2368279569891,346.3767576509512,19.579435483870967,21.17901168999624,19.98467741935484,19.19462365591398,20.189638611691294,20.575597747608366,92.22782258064517,91.12605238389932,95.30577956989248,3.980241935483871,1.7904569892473117,3
2019-06-30,0.10055555555555556,1018.8876388888889,1019.1354166666666,1018.6393055555557,435.7475378787879,18.24277777777778,19.92237419484702,18.881666666666664,17.595555555555556,20.615104916067146,19.200377697841727,95.97222222222223,89.02993105515587,94.66180555555556,3.2536805555555555,1.4590277777777778,104
2019-07-31,0.11155913978494623,1020.037567204301,1020.3217069892473,1019.7397849462366,432.78242302052786,14.782795698924732,13.37614247311828,15.306854838709677,14.262567204301076,13.62744623655914,12.584126344086021,91.13104838709677,87.33951612903226,89.26263440860214,4.074663978494624,1.8224462365591398,189
2019-08-31,0.03763440860215054,1021.9104166666666,1022.2159274193549,1021.6032258064516,607.8695099255583,15.778293010752687,12.344489247311827,16.454905913978497,15.103293010752688,12.970067204301074,11.749543010752689,83.44825268817205,77.70618279569892,80.63319892473118,4.793010752688172,2.2330645161290326,939
2019-09-30,0.05472222222222222,1018.2440277777777,1018.5705555555556,1017.9166666666666,634.7353132284383,17.615694444444443,14.012291666666668,18.154444444444444,17.105416666666667,14.5225,13.56048611111111,83.08819444444444,78.34861111111111,80.81666666666666,4.8815277777777775,2.3656944444444443,272
2019-10-31,0.23763440860215054,1015.3900537634408,1015.7239247311828,1015.040188172043,636.5199413489736,20.69260752688172,19.840003360215054,21.163709677419355,20.25483870967742,20.312029569892474,19.291162634408604,94.62096774193549,90.2200940860215,92.81720430107526,5.198252688172043,2.4592741935483873,68
2019-11-30,0.11611111111111111,1013.7516666666666,1014.0341666666666,1013.4831944444445,901.5813383838383,21.77166666666667,20.02935763888889,22.233194444444443,21.34111111111111,20.73097222222222,19.630729166666665,90.42430555555555,85.371875,88.33472222222223,5.987222222222223,2.8906944444444447,63
2019-12-31,0.08494623655913978,1012.2737903225806,1012.5235215053764,1012.0182795698925,1150.0408052297166,23.300403225806452,20.743301971326165,23.91693548387097,22.754435483870967,21.604305555555555,19.912060931899642,86.4008064516129,77.05421146953405,81.94431003584229,5.0982526881720425,2.4733870967741938,81
