,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.02741935483870968,990.8439516129033,991.0764784946236,990.6154569892474,976.0425951086957,26.355779569892473,20.794086021505375,26.99650537634409,25.776612903225807,21.267741935483873,20.30013440860215,76.36155913978494,71.00672043010752,73.75940860215054,6.10497311827957,2.433736559139785,31.0
2019-02-28,0.01011904761904762,988.7880952380953,989.0561011904762,988.5244047619047,962.3126116071428,27.523363095238096,22.19315476190476,28.173809523809524,26.94613095238095,22.63735119047619,21.750744047619047,77.67410714285714,72.48809523809524,75.16517857142857,6.516071428571429,2.85625,13.0
2019-03-31,0.21451612903225806,989.2310483870968,989.5072580645161,988.9541666666667,894.6858870967743,26.810147849462364,22.693472222222223,27.414852150537637,26.261223118279567,23.192320788530466,22.183870967741935,82.79301075268818,77.19121863799283,80.08593189964158,5.713239247311828,2.3700940860215054,12.0
2019-04-30,0.06972222222222221,989.3491666666667,989.5948611111112,989.0970833333333,812.6396874999999,26.35402777777778,25.419428118908385,26.915,25.814861111111114,26.04847685185185,24.649118055555558,91.35138888888889,82.9281712962963,87.92787037037037,4.840833333333333,2.0741666666666667,2.0
2019-05-31,0.1443548387096774,990.1708333333333,990.4101478494624,989.9337365591397,696.1519489247312,25.458467741935483,25.452645727221277,26.047580645161293,24.896639784946235,26.01600806451613,24.85031586021505,93.76680107526882,87.02278225806451,91.40322580645162,4.539381720430108,1.905510752688172,4.0
2019-06-30,0.4117310522442973,993.5165190397352,993.7109308706154,993.3047785391724,547.7829405813098,23.14046403605592,25.777374821173105,23.663782556185676,22.67534289014913,26.41955882352941,25.019023692810453,55.42539787798408,90.0031862745098,93.27811456843109,5.4559245694181895,2.256582045621781,3.4
2019-07-31,0.11513718070009463,994.2183538315988,994.429347826087,994.1021739130435,206.19337748344373,23.21215704824976,22.250214592274677,23.557608695652174,22.715217391304346,23.0734681372549,21.83394607843137,40.4053934571176,79.78247549019608,82.57204169221338,7.467391304347826,2.845411542100284,2.8
2019-08-31,0.04756932788069298,995.1916008611306,995.4870900410594,995.028080726467,541.7123117389447,22.96938313191117,18.62309203239651,23.3711232392219,22.352730349411548,19.272254506641364,18.209404648956358,75.85497418784405,72.76551628716003,75.62454098349848,5.7805042736345715,2.4446569083732617,2.2
2019-09-30,0.08388888888888889,993.139861111111,993.3516666666666,992.9287499999999,782.8265972222223,23.39625,18.96034722222222,24.047013888888888,22.890555555555558,19.477291666666666,18.446319444444445,80.32569444444445,73.98819444444445,77.45208333333333,5.552152777777778,2.4181944444444445,1.6
2019-10-31,0.0239247311827957,990.8508064516129,991.0942204301075,990.6034946236559,957.9186155913978,24.757930107526885,19.13736559139785,25.39717741935484,24.1872311827957,19.600134408602152,18.600201612903223,75.69220430107526,69.37298387096774,72.82325268817205,6.321102150537634,2.7219086021505374,1.0
2019-11-30,0.09583333333333334,988.8711111111111,989.1077083333334,988.6113194444445,1049.6647916666666,26.04013888888889,19.63222222222222,26.67729166666667,25.316875000000003,20.330486111111114,19.038958333333333,74.54722222222222,66.32083333333334,70.12361111111112,6.824166666666666,3.047013888888889,2.0
2019-12-31,0.01989247311827957,988.9118951612902,989.1459677419355,988.6737903225807,1038.0135080645161,26.339583333333334,18.262970430107526,26.990188172043013,25.71760752688172,18.94885752688172,17.482728494623654,68.17137096774194,60.68481182795699,64.64986559139786,6.71505376344086,2.9071236559139786,16.0
