,"PRECIPITAÇÃO TOTAL, MENSAL (MM)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, MENSAL (MB)",PRESSÃO ATMOSFERICA MAX.MENSAL (AUT) (MB),PRESSÃO ATMOSFERICA MIN. MENSAL (AUT) (MB),RADIACAO GLOBAL (KJ/M²),"TEMPERATURA DO AR - BULBO SECO, MENSAL (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA MENSAL (AUT) (°C),TEMPERATURA MÍNIMA MENSAL (AUT) (°C),TEMPERATURA ORVALHO MAX. MENSAL (AUT) (°C),TEMPERATURA ORVALHO MIN. MENSAL (AUT) (°C),UMIDADE REL. MAX. MENSAL (AUT) (%),UMIDADE REL. MIN. MENSAL (AUT) (%),"UMIDADE RELATIVA DO AR, MENSAL (%)","VENTO, RAJADA MAXIMA (M/S)","VENTO, VELOCIDADE MENSAL (M/S)",FOCOS DE QUEIMADA
2019-01-31,0.2948924731182796,1012.6745967741936,1012.9286290322581,1012.4211021505376,904.0857142857143,27.888575268817203,24.096774193548388,28.50967741935484,27.313306451612902,24.55530913978495,23.58891129032258,89.55174731182795,82.95362903225806,86.23588709677419,4.082123655913978,1.512768817204301,90
2019-02-28,0.8952380952380953,1011.3321428571428,1011.6017857142857,1011.0687499999999,640.9213541666667,25.570535714285718,22.75922619047619,26.14627976190476,25.049404761904764,23.226934523809526,22.331994047619048,90.82738095238095,85.23511904761905,88.26860119047619,4.028869047619048,1.3709821428571427,35
2019-03-31,0.5774193548387097,1013.8490591397849,1014.0909946236559,1013.5943548387096,620.3197804659499,25.282526881720432,22.944959677419355,25.798655913978497,24.80994623655914,23.332728494623655,22.559475806451612,91.61290322580645,86.62768817204301,89.49395161290323,3.875537634408602,1.3356182795698925,85
2019-04-30,0.37444444444444447,1013.34875,1013.5705555555556,1013.1293055555556,563.4988855820105,24.42861111111111,21.94215277777778,24.901944444444446,23.989444444444448,22.382430555555555,21.57701388888889,90.44583333333334,85.65625,87.84444444444445,3.4141666666666666,1.2477777777777777,78
2019-05-31,0.39946236559139786,1014.8162634408603,1015.0735215053763,1014.5639784946236,465.6701756912442,22.881451612903223,20.77331989247312,23.33978494623656,22.46465053763441,21.21619623655914,20.363239247311828,91.53427419354838,87.09206989247312,89.43951612903226,3.449731182795699,1.208467741935484,81
2019-06-30,0.2125,1019.0708333333333,1019.2929166666667,1018.8405555555555,484.1582589285714,21.225694444444443,19.248055555555556,21.764861111111113,20.725833333333334,19.798472222222223,18.727222222222224,92.96736111111112,87.66875,90.46388888888889,3.0247222222222225,1.0705555555555555,290
2019-07-31,0.22311827956989247,1019.1754032258065,1019.4016129032259,1018.9397849462365,528.4446051931939,19.449327956989247,16.707594086021505,19.997580645161293,18.938172043010752,17.251075268817203,16.14334677419355,89.14516129032258,83.15860215053763,86.34744623655914,3.4958333333333336,1.310752688172043,393
2019-08-31,0.25483870967741934,1021.3381048387098,1021.5872983870967,1021.085685483871,516.8410721670803,19.680309139784946,17.040860215053762,20.198924731182796,19.21135752688172,17.536693548387095,16.582325268817204,90.34543010752688,84.4986559139785,87.4986559139785,3.825672043010753,1.3990591397849463,742
2019-09-30,0.26861111111111113,1017.08625,1017.3720833333334,1016.8005555555555,469.70824252136754,20.430694444444445,18.885347222222222,20.82236111111111,20.061805555555555,19.245486111111113,18.555208333333333,93.97152777777778,89.7701388888889,91.9375,3.9779166666666663,1.42125,872
2019-10-31,0.16155913978494624,1014.2903225806451,1014.535752688172,1014.041129032258,711.3088485663083,22.888306451612905,20.948319892473116,23.343010752688173,22.486155913978497,21.423454301075267,20.49516129032258,92.40927419354838,87.19354838709677,89.94959677419355,3.8954301075268813,1.4625,308
2019-11-30,0.2147222222222222,1012.9032638888889,1013.1606944444444,1012.6447916666667,583.9416898148148,22.947569444444444,21.004166666666666,23.357013888888886,22.57472222222222,21.440208333333334,20.560347222222223,92.30277777777778,87.12013888888889,89.92430555555555,3.878611111111111,1.3784027777777779,60
2019-12-31,0.0,1012.1210904628331,1012.3239996159754,1011.8605011520738,1281.4388625915535,25.8287994779492,21.96731923016986,26.60682603686636,25.26953533026114,22.41304678263807,21.117562254874365,85.20683563748081,76.52421274961597,81.14788842138071,4.5161981566820275,1.749900153609831,40
2020-01-31,0.0,1008.7897966339411,1008.7830400345622,1008.3601305683563,2606.0752335105967,30.446805360760482,23.214744465020406,31.768846006144393,30.078398137480796,22.11872113314327,20.6659964341991,68.64362473210262,61.10976123789288,71.21369888787176,6.161355606758833,2.445798771121352,69
2020-02-29,0.0,1012.2183908045977,1012.5531788793103,1012.1700626959248,1903.0930495689654,28.810704022988507,22.61874225686558,29.44659090909091,27.981878591954025,23.948884714896227,22.187102362672775,80.13346817337113,70.90015110844142,72.30959632459219,5.312669801462905,2.049712643678161,103
2020-03-31,0.0,1014.948425499232,1015.2349270353302,1014.8650258343807,1652.2960349462367,26.419489247311827,23.59858870967742,27.294990224828936,25.72632488479263,24.424059139784948,22.569641984359727,89.3197091886608,77.99468475073314,84.73588709677419,4.703152492668622,1.6807123655913978,127
2020-04-30,0.0,1016.2853943452382,1016.5082316468253,1016.0310515873016,1388.6194791666667,24.68390625,23.220572916666665,25.329288194444448,23.702571924603177,23.964327651515152,22.63987215909091,94.95572916666667,87.3005523989899,92.08559027777778,4.4772727272727275,1.6163541666666668,252
2020-05-31,0.0,1017.0572244623655,1017.2970430107526,1016.7887264784946,1176.8350806451613,23.27115255376344,18.948353494623657,23.757056451612904,22.152469758064516,19.71636424731183,17.4809811827957,82.87466397849462,73.52217741935483,79.94338037634408,4.512029569892473,1.6127184139784945,262
2020-06-30,0.0,1017.0755729166666,1017.4149826388889,1016.8336631944445,1017.8853125,24.64951388888889,19.622309027777778,25.41203125,23.68954861111111,20.542604166666667,18.453732638888887,83.93038194444445,75.07829861111111,79.74618055555555,4.543229166666666,1.714184027777778,262
2020-07-31,0.0,1017.1128629032257,1017.3637432795699,1016.8000201612903,1178.4565188172044,23.65047043010753,18.066673387096774,24.429469086021506,22.70429435483871,18.846834677419356,16.614979838709676,78.90893817204301,69.45497311827957,74.77721774193549,5.184139784946237,1.7357661290322581,558
2020-08-31,0.0,1019.5454016629158,1019.9002242748188,1019.3726573830958,1326.9843992248063,21.92828832208052,18.318144692423108,22.28484074143536,20.592839303575897,19.308312703175794,17.05335599524881,88.02359964991248,79.20728619654913,81.90863340835209,4.2090511974584555,1.8013587771942987,1111
2020-09-30,0.0,1015.9293316803465,1016.3424867951055,1015.7572854917161,1478.9026404088768,24.003330008359935,21.73739141586867,24.397713178294573,22.840445546435628,22.63186445508436,20.53017470360237,93.69477219182247,85.81595132238941,88.75511475908193,4.828802733214498,1.832299361605107,2254
2020-10-31,0.0,1013.5464344325351,1013.8797171222457,1013.4057939937092,1686.8439468049644,25.222613980204112,21.319170320700206,25.633918192385938,24.181581854625023,22.39251158179052,20.47954435697557,87.47368561635639,78.41664422961861,82.13603902764244,4.955937911345881,1.9117633169222352,995
2020-11-30,0.0,1014.4245955824246,1014.7328438636005,1014.2689920183341,1886.7029188398924,25.032806326062904,20.921104196301567,25.43726479769243,23.99075894973921,22.06013612296507,19.930762110795005,86.25872747747748,76.24209834834835,79.57577050734946,4.609529792950846,1.8460461119013751,115
2020-12-31,0.09354838709677421,1011.5699844368987,1011.8721915676288,1011.4595394736842,1924.3502016129032,27.784560696095078,23.366741652518392,28.292183078664404,26.759903791737404,24.862169257701307,22.41997725717761,86.23502304147466,74.17079493087557,80.42799235993209,5.315757640067912,2.1118244199207696,15
2021-01-31,0.031048387096774197,1011.2859570058923,1011.5616342504743,1011.174407020873,1830.048453052698,28.678751997403378,25.06054211469534,29.329190385831755,27.789112903225803,26.50701933878992,23.865084523618467,92.76744111623142,79.99631976446493,85.34466845878136,4.903593453510436,1.900534305402976,29
2021-02-28,0.10327380952380953,1010.7106486344538,1011.0088979341735,1010.5560574229692,1605.645158219538,27.33949908088235,23.47504340277778,28.194892331932774,26.430077030812328,24.52706582633053,22.08205386321195,88.21006944444444,76.55338176937441,82.4881572420635,4.592879026610644,1.6728214723389354,72
2021-03-31,0.12217741935483872,1011.8474630376344,1012.1306056293485,1011.6733752371917,1374.1826444892472,27.573051075268815,23.83923051075269,28.247517394054398,26.55871679316888,25.07072264389627,22.924980234029096,88.51988456672993,78.00668089816571,82.43514784946237,4.3310009487666035,1.6647513440860215,98
2021-04-30,0.03888888888888889,1015.748095383987,1016.0218423202615,1015.6042973856208,1162.445185866013,24.462313112745097,20.630886437908497,25.34035130718954,23.6462704248366,21.688288398692812,19.564730392156864,85.31474673202615,74.9140114379085,80.95007148692811,4.397569444444445,1.4576276552287584,69
2021-05-31,0.05591397849462366,1016.6148284313725,1016.9437302340291,1016.4562144212524,942.3204380139152,22.324106578115117,19.417002688172044,23.09155202403542,21.573908918406072,20.39767156862745,18.34352862112587,88.85226913345983,81.68512808349146,85.76589184060721,3.938037634408602,1.3323173624288425,140
2021-06-30,0.0011111111111111111,1018.5069321895425,1018.8810375816994,1018.2983578431373,812.3261519607844,21.492242647058823,19.944375,22.107328431372547,20.712418300653592,20.658508986928105,18.906531862745098,94.17818627450981,89.67589869281046,92.53039215686275,4.074640522875817,1.4486519607843138,136
2021-07-31,0.008064516129032258,1020.9398916824795,1021.2135238772928,1020.7266722011385,892.8005257748262,19.925328115117015,16.79607843137255,20.853632985452244,19.291358317520558,17.8550086970272,15.652229601518027,87.13053447185327,80.24410974067047,85.0673624288425,4.385464104996838,1.5988496204933587,808
2021-08-31,0.061424731182795705,1019.5917921805819,1019.9192184535104,1019.402251344086,1062.938023798229,21.30386820050601,19.829979048070843,21.87849758855155,20.4131730313093,20.587033523086653,18.92460072738773,93.98869386464263,89.37464421252372,92.40793010752688,4.408764231499052,1.6526081198608475,2277
2021-09-30,0.006111111111111111,1016.2625694444445,1016.5848958333333,1016.0735069444445,1078.920329861111,22.71640625,22.140833333333333,23.20859375,21.959375,22.89703022875817,21.54706290849673,96.92430555555555,94.37777777777778,96.22430555555556,4.3801909722222225,1.7262847222222222,1663
2021-10-31,0.15831211092246747,1015.3717167161857,1015.6564233163555,1015.147637238257,1194.2199534875497,22.465049342105264,21.97400633640553,22.7820016270515,21.455267579230334,22.74585027559411,21.197503840245776,98.08602150537635,95.09139784946237,96.64784946236558,4.442321908602151,1.7513166737408037,95
2021-11-30,0.26168859649122805,1012.5215350877193,1012.768594054581,1012.3872794834308,1994.8202899610135,24.316804337231968,22.000876322751324,24.75289230019493,23.41264132553606,23.07802277432712,21.074393978605936,92.94732142857144,84.88779761904762,88.16226851851852,4.939085648148149,1.9303118908382066,41
2021-12-31,0.05981182795698925,1011.83,1012.0440501792115,1011.6817965949822,1865.042007168459,25.590573476702506,24.137222222222224,26.076160394265234,24.651205197132615,24.981226040205705,23.15613370733988,95.52611367127496,90.39218509984639,93.00156810035843,4.781966845878136,1.9795071684587813,41
2022-01-31,0.13655913978494622,1010.9680958781362,1011.222123655914,1010.8328091397849,1876.0499507168458,27.63010304659498,26.68448476702509,28.202849462365588,26.73477150537634,27.552939068100358,26.16056899641577,99.3239247311828,98.80040322580645,97.05443548387096,4.4877464157706095,1.8222401433691757,76
2022-02-28,0.03273809523809524,1011.9272656979459,1012.169043242297,1011.7856967787114,1999.5095836251169,27.950981851073763,26.498995535714286,28.426702556022413,26.604993872549024,27.097389632936512,25.158785962301586,97.45089285714286,93.3422619047619,95.82068452380952,4.4890610410831,1.8759512138188608,120
2022-03-31,0.5086021505376344,1012.1600727387729,1012.4303130929791,1011.9478652751422,1251.5158733923677,27.14801549652119,25.156395609318995,27.665666508538898,26.28534155597723,25.595278897849465,24.093699596774197,94.04435483870968,90.39583333333333,92.59677419354838,4.435440385831752,1.71544908285895,64
2022-04-30,0.4488888888888889,1014.6783333333334,1014.9176388888889,1014.4393055555556,543.0443287037037,23.113888888888887,20.442866185006793,23.588055555555556,22.68486111111111,20.82818101851852,20.02344351851852,84.74224537037037,80.3657037037037,82.38664217199786,3.789722222222222,1.31375,47
2022-05-31,0.14381720430107528,1016.2283602150538,1016.4741935483871,1015.9826612903225,476.7276209677419,20.870430107526882,19.57402741756206,21.30537634408602,20.46451612903226,19.811092592592594,19.07448148148148,76.2824074074074,72.9162962962963,73.91848832901074,4.090725806451613,1.493279569892473,139
2022-06-30,0.18611111111111112,1017.5990277777778,1017.8473611111111,1017.3486111111112,355.1372619047619,19.23472222222222,18.001000370507597,19.614305555555553,18.885,18.157314814814814,17.502037037037038,83.06018518518519,80.50740740740741,81.51241200444609,3.4515277777777778,1.193888888888889,90
2022-07-31,0.07150537634408602,1017.9366935483871,1018.1707661290324,1017.6947580645161,498.6213739217771,20.891532258064515,16.42797332345313,21.37708333333333,20.43434139784946,16.503537037037038,15.929592592592591,89.83796296296295,88.0985185185185,89.10633567988145,3.6198252688172046,1.2762096774193548,345
2022-08-31,0.16102150537634408,1019.0655913978495,1019.3263440860215,1018.7893817204301,509.9801385442514,19.677688172043013,15.566166033218197,20.081586021505377,19.295698924731184,15.88778031660693,15.05164366786141,87.75832586618877,83.97088410991637,86.09705904616206,4.269086021505376,1.5458333333333332,315
2022-09-30,0.2972222222222222,1017.6329166666666,1017.9355555555555,1017.328888888889,480.71254095441594,19.33763888888889,16.05111111111111,19.74861111111111,18.951666666666668,16.444513888888892,15.420972222222222,82.29791666666667,77.84513888888888,80.15,3.9261111111111116,1.3458333333333334,258
2022-10-31,0.14650537634408603,1014.1754032258065,1014.4685483870967,1013.888440860215,584.6404916096449,22.24287634408602,19.80349462365591,22.595967741935485,21.91787634408602,20.173387096774192,19.411424731182795,88.96505376344086,84.76344086021506,86.95430107526882,3.9641129032258067,1.405241935483871,62
2022-11-30,0.6519444444444444,1014.395,1014.6415277777778,1014.1534722222223,729.3437878787878,21.90125,18.79208333333333,22.30513888888889,21.52027777777778,19.23875,18.278055555555557,86.15,80.30416666666666,83.1375,4.182916666666666,1.4390277777777776,49
2022-12-31,0.4352150537634409,1010.808870967742,1011.0385752688171,1010.5635752688173,605.3718902737047,23.710752688172043,21.169758064516127,24.078763440860214,23.379435483870967,21.578763440860214,20.743951612903224,88.51747311827957,84.33736559139786,86.56989247311827,3.9108870967741933,1.3717741935483871,34
2023-01-31,0.3048387096774194,1011.390188172043,1011.6413978494624,1011.1451612903226,689.9662732160313,25.010080645161292,22.07956989247312,25.417069892473116,24.633870967741935,22.536290322580644,21.579032258064515,87.08870967741936,82.18010752688173,84.81048387096774,4.42610821228268,1.5991667993067347,62
2023-02-28,0.8812499999999999,1011.5302083333333,1011.793005952381,1011.2558035714286,645.222996031746,25.950000000000003,22.3848582129481,26.390773809523807,25.55014880952381,22.82547719509745,21.6189942485433,73.88693615631907,67.7838368997388,72.03818887105405,6.763276216586703,2.5293037280701753,36
2023-03-31,0.25564516129032255,1013.4860215053764,1013.7405913978495,1013.2342741935485,694.9516913082438,25.43911290322581,21.890625377552254,25.85510752688172,25.042069892473116,22.236934576471125,21.404349280885622,84.70964906310967,80.48556667120366,83.1079799444243,7.112666209732693,2.5681195175438596,109
2023-04-30,0.2980555555555556,1014.2526388888889,1014.47625,1014.0261111111112,559.2377893518518,23.18972222222222,20.21125,23.589444444444446,22.823194444444447,20.66847222222222,19.73263888888889,86.53888888888889,81.73333333333333,84.29166666666667,7.473899931459904,2.608251096491228,22
2023-05-31,0.43172043010752686,1017.5092741935484,1017.7192204301075,1017.2831989247311,535.1336021505376,21.48951612903226,18.99032258064516,21.871639784946236,21.120295698924732,19.425403225806452,18.551881720430107,88.5739247311828,84.47043010752688,86.57661290322581,7.835133653187114,2.6483826754385964,145
2023-06-30,0.1463888888888889,1018.8125,1019.0268055555556,1018.5858333333334,481.03818452380955,20.69013888888889,17.765555555555558,21.151805555555555,20.234861111111112,18.31597222222222,17.18916666666667,88.20138888888889,82.55833333333334,85.50833333333334,8.196367374914324,2.688514254385965,134
2023-07-31,0.1588709677419355,1019.4184139784946,1019.6630376344086,1019.1592741935484,479.2456989247312,20.15967741935484,17.40456989247312,20.58790322580645,19.74274193548387,17.958333333333332,16.84260752688172,89.58602150537635,84.55779569892474,87.13037634408602,8.557601096641536,2.728645833333333,253
2023-08-31,0.3682795698924731,1016.644556451613,1016.9325268817205,1016.3534946236559,509.25974302355354,21.09744623655914,18.943077956989246,21.5630376344086,20.665591397849465,19.475336021505377,18.405309139784944,92.84005376344086,87.95967741935483,90.47513440860214,8.924756682659355,2.769435307017544,352
2023-09-30,0.11694444444444445,1014.6469444444446,1014.9372222222223,1014.3629166666667,614.0651388888889,22.628194444444443,21.351666666666667,23.03611111111111,22.237222222222222,21.800972222222224,20.87847222222222,95.4,90.97083333333333,93.35416666666667,9.285990404386565,2.8095668859649123,375
2023-10-31,0.4760752688172043,1013.0112903225806,1013.3530913978494,1012.6766129032259,377.39954077060935,21.95766129032258,21.595698924731185,22.23172043010753,21.695967741935483,21.894354838709678,21.316263440860215,98.96505376344086,97.27553763440861,98.17204301075269,9.647224126113775,2.8496984649122803,58
2023-11-30,0.2677777777777778,1011.5688194444446,1011.8754166666668,1011.2682638888889,690.6960795454545,24.460833333333333,22.582430555555558,24.90145833333333,24.060069444444444,23.131319444444443,22.07875,93.15277777777777,88.12916666666666,90.59027777777777,8.415383729342777,2.486240177266082,54
2023-12-31,0.23548387096774193,1011.8939516129032,1012.1473790322581,1011.6317204301075,735.2017289833822,25.200739247311827,23.119556451612905,25.683333333333334,24.75766129032258,23.53353494623656,22.70779569892473,92.22513440860214,86.85752688172043,89.75470430107526,3.6424059139784943,1.3061155913978495,66
2024-01-31,0.8483870967741937,1011.3327956989247,1011.5871639784946,1011.0727822580645,724.4593597262952,25.36034946236559,23.28844086021505,25.901209677419356,24.905645161290323,23.774193548387096,22.852889784946235,93.57728494623656,88.11760752688173,90.81048387096774,4.2407930107526886,1.4592069892473118,75
2024-02-29,0.2761494252873563,1012.9254310344827,1013.1776580459771,1012.677370689655,732.0861437652386,26.01199712643678,24.13304597701149,26.503591954022987,25.57126436781609,24.576508620689655,23.74669540229885,94.88793103448276,89.58979885057471,92.42600574712644,3.6110632183908047,1.2764367816091953,93
2024-03-31,0.4188172043010753,1013.0940860215054,1013.3260752688171,1012.8545698924731,599.4488687275986,25.436559139784944,23.96525537634409,25.87271505376344,25.04260752688172,24.39536290322581,23.595228494623655,95.87231182795699,91.69623655913979,93.57056451612904,3.4916666666666667,1.2198924731182796,138
2024-04-30,0.12083333333333333,1014.2341666666666,1014.4602777777778,1014.0070833333333,602.1708769586894,24.42666666666667,22.839930555555554,24.799027777777777,24.072083333333335,23.237708333333334,22.431597222222223,94.55416666666666,90.28541666666666,92.48402777777778,3.294305555555556,1.1958333333333333,63
2024-05-31,0.14623655913978495,1015.2664650537635,1015.506317204301,1015.0095430107526,473.5361662531018,23.492674731182795,21.09536290322581,23.95577956989247,23.07715053763441,21.717473118279568,20.652889784946236,93.68145161290323,87.8239247311828,90.44959677419355,3.829301075268817,1.2960349462365592,398
2024-06-30,0.17333333333333334,1017.2618055555556,1017.4870833333333,1017.0313888888888,463.51367750305246,22.0475,18.901875,22.56416666666667,21.548055555555557,19.549583333333334,18.267986111111114,90.02430555555556,83.59513888888888,86.79652777777778,3.4211111111111108,1.163888888888889,532
2024-07-31,0.1086021505376344,1021.146370967742,1021.3841397849463,1020.8983870967742,359.8903462129269,18.403629032258063,17.575336021505375,18.705913978494625,18.115188172043013,17.884879032258066,17.264314516129033,96.84543010752688,94.05040322580645,95.54032258064517,1.7,0.5,499
2024-08-31,0.08024193548387097,1019.201814516129,1019.4594086021506,1018.9479838709678,589.50739764268,18.38635752688172,16.820766129032258,18.82103494623656,17.987567204301076,17.25,16.368951612903224,94.00873655913979,89.79301075268818,92.125,1.7,0.5,3612
2024-09-30,0.08194444444444444,1015.6686805555555,1015.9425,1015.3980555555555,510.7958680555556,21.430902777777778,19.916319444444444,21.788333333333334,21.106458333333332,20.37125,19.579097222222224,95.15208333333334,90.95208333333333,92.93263888888889,1.7,0.5,2522
2024-10-31,0.17231182795698924,1014.722379032258,1015.0002688172042,1014.4377016129033,496.9266892717498,22.32587365591398,20.95826612903226,22.693884408602152,21.991868279569893,21.35282258064516,20.5440188172043,95.45967741935483,91.20362903225806,93.46706989247312,1.7,0.5,714
